	Steps	Time [s]	Deformation Probe  (Total) [mm]	[A] Force Reaction  (Y) [N]	
1	1	2.5e-002	8.75e-002	0.65412	
2	1	5.e-002	0.175	1.2342	
3	1	8.3333e-002	0.29167	1.8999	
4	1	0.11667	0.40833	2.451	
5	1	0.15	0.525	2.8968	
6	1	0.18333	0.64167	3.2466	
7	1	0.21667	0.75833	3.5059	
8	1	0.25	0.875	3.6939	
9	1	0.28333	0.99167	3.8162	
10	1	0.31667	1.1083	3.8855	
11	1	0.35	1.225	3.9176	
12	1	0.38333	1.3417	3.9291	
13	1	0.41667	1.4583	3.9266	
14	1	0.45	1.575	3.9232	
15	1	0.48333	1.6917	3.9298	
16	1	0.51667	1.8083	3.9536	
17	1	0.55	1.925	4.0084	
18	1	0.58333	2.0417	4.1036	
19	1	0.61667	2.1583	4.2483	
20	1	0.65	2.275	4.4575	
21	1	0.68333	2.3917	4.726	
22	1	0.71667	2.5083	5.0711	
23	1	0.75	2.625	5.4868	
24	1	0.78333	2.7417	5.9836	
25	1	0.81667	2.8583	6.5657	
26	1	0.85	2.975	7.2373	
27	1	0.88333	3.0917	8.0031	
28	1	0.91667	3.2083	8.868	
29	1	0.95	3.325	9.8368	
30	1	0.98333	3.4417	10.914	
31	1	1.	3.5	11.496	
