	Steps	Time [s]	Deformation Probe  (Total) [mm]	[A] Force Reaction  (Y) [N]	
1	1	3.3333e-002	0.13333	1.6578	
2	1	6.6667e-002	0.26667	2.8195	
3	1	0.11667	0.46667	3.409	
4	1	0.16667	0.66667	3.168	
5	1	0.21667	0.86667	2.7542	
6	1	0.26667	1.0667	2.2895	
7	1	0.31667	1.2667	1.8031	
8	1	0.36667	1.4667	1.308	
9	1	0.41667	1.6667	0.81111	
10	1	0.46667	1.8667	0.32021	
11	1	0.51667	2.0667	-0.1528	
12	1	0.56667	2.2667	-0.58219	
13	1	0.61667	2.4667	-0.85434	
14	1	0.66667	2.6667	-0.46318	
15	1	0.71667	2.8667	0.98971	
16	1	0.76667	3.0667	3.2802	
17	1	0.81667	3.2667	6.405	
18	1	0.86667	3.4667	10.414	
19	1	0.91667	3.6667	15.357	
20	1	0.96667	3.8667	21.274	
21	1	1.	4.	25.787	
