	Frequency [Hz]	Real [N]	Imaginary [N]	
133	1776.7	6.0356e-009	-3.6898e-007	
134	1789.9	6.1036e-009	-3.61e-007	
135	1803.	6.1278e-009	-3.5323e-007	
136	1816.1	6.1389e-009	-3.4566e-007	
137	1829.3	6.1502e-009	-3.383e-007	
138	1842.4	6.1619e-009	-3.3114e-007	
139	1855.5	6.1725e-009	-3.2417e-007	
140	1868.7	6.1809e-009	-3.174e-007	
141	1881.8	6.1865e-009	-3.1082e-007	
142	1894.9	6.1894e-009	-3.0442e-007	
143	1908.1	6.1895e-009	-2.9819e-007	
144	1921.2	6.1869e-009	-2.9213e-007	
145	1934.3	6.1818e-009	-2.8623e-007	
146	1947.5	6.1744e-009	-2.8049e-007	
147	1960.6	6.1647e-009	-2.7491e-007	
148	1973.7	6.153e-009	-2.6947e-007	
149	1986.9	6.1392e-009	-2.6417e-007	
150	2000.	6.1237e-009	-2.5901e-007	
