	Frequency [Hz]	[A] Frequency Response (Real) [N]	[B] Frequency Response (Imaginary) [N]	
133	1776.7	-1.4934e-008	-4.7978e-007	
134	1789.9	-1.4422e-008	-4.693e-007	
135	1803.	-1.3935e-008	-4.5913e-007	
136	1816.1	-1.3472e-008	-4.4925e-007	
137	1829.3	-1.303e-008	-4.3965e-007	
138	1842.4	-1.261e-008	-4.3033e-007	
139	1855.5	-1.2209e-008	-4.2126e-007	
140	1868.7	-1.1826e-008	-4.1245e-007	
141	1881.8	-1.1461e-008	-4.0388e-007	
142	1894.9	-1.1113e-008	-3.9555e-007	
143	1908.1	-1.078e-008	-3.8744e-007	
144	1921.2	-1.0462e-008	-3.7955e-007	
145	1934.3	-1.0159e-008	-3.7187e-007	
146	1947.5	-9.8683e-009	-3.644e-007	
147	1960.6	-9.5892e-009	-3.5711e-007	
148	1973.7	-9.319e-009	-3.5001e-007	
149	1986.9	-9.0527e-009	-3.4309e-007	
150	2000.	-8.7821e-009	-3.3634e-007	
