	Frequency [Hz]	[A] Frequency Response (Real) [N]	[B] Frequency Response (Imaginary) [N]	
132	1763.6	1.0381e-008	-3.9356e-007	
133	1776.7	1.0335e-008	-3.8493e-007	
134	1789.9	1.0292e-008	-3.7654e-007	
135	1803.	1.0248e-008	-3.6839e-007	
136	1816.1	1.0203e-008	-3.6048e-007	
137	1829.3	1.0157e-008	-3.5279e-007	
138	1842.4	1.0108e-008	-3.4532e-007	
139	1855.5	1.0057e-008	-3.3806e-007	
140	1868.7	1.0004e-008	-3.31e-007	
141	1881.8	9.949e-009	-3.2413e-007	
142	1894.9	9.8924e-009	-3.1746e-007	
143	1908.1	9.8343e-009	-3.1096e-007	
144	1921.2	9.7747e-009	-3.0464e-007	
145	1934.3	9.7139e-009	-2.9849e-007	
146	1947.5	9.6519e-009	-2.9251e-007	
147	1960.6	9.5889e-009	-2.8668e-007	
148	1973.7	9.525e-009	-2.8101e-007	
149	1986.9	9.4604e-009	-2.7549e-007	
150	2000.	9.3951e-009	-2.7011e-007	
