	Frequency [Hz]	[A] Frequency Response (Real) [N]	[B] Frequency Response (Imaginary) [N]	
1	43.133	0.43812	-1.8514e-003	
2	56.267	0.30252	-3.0339e-003	
3	69.4	0.2488	-5.186e-003	
4	82.533	0.24025	-9.8873e-003	
5	95.667	0.28187	-2.3754e-002	
6	108.8	0.46847	-0.10368	
7	121.93	-0.59159	-1.4054	
8	135.07	-0.30259	-6.9084e-002	
9	148.2	-0.15709	-1.8434e-002	
10	161.33	-0.10808	-7.1669e-003	
11	174.47	-8.7518e-002	-2.2933e-003	
12	187.6	-8.0745e-002	1.4008e-003	
13	200.73	-8.5286e-002	6.6913e-003	
14	213.87	-0.10782	2.1052e-002	
15	227.	-0.17306	0.10947	
16	240.13	0.14266	0.18456	
17	253.27	8.1074e-002	2.9386e-002	
18	266.4	4.779e-002	9.8992e-003	
19	279.53	3.3572e-002	4.4691e-003	
20	292.67	2.6432e-002	2.1882e-003	
21	305.8	2.2668e-002	9.2622e-004	
22	318.93	2.0893e-002	1.7172e-005	
23	332.07	2.0592e-002	-8.5459e-004	
24	345.2	2.1711e-002	-1.9583e-003	
25	358.33	2.4621e-002	-3.7175e-003	
26	371.47	3.0355e-002	-7.1142e-003	
27	384.6	4.1357e-002	-1.5091e-002	
28	397.73	6.2766e-002	-3.9263e-002	
29	410.87	8.1534e-002	-0.13911	
30	424.	-0.20391	-0.23547	
31	437.13	-0.2758	0.11727	
32	450.27	2.9403e-002	0.18354	
33	463.4	5.6341e-002	5.2524e-002	
34	476.53	3.6519e-002	1.8559e-002	
35	489.67	2.5613e-002	7.9561e-003	
36	502.8	2.0178e-002	3.4261e-003	
37	515.93	1.7798e-002	6.673e-004	
38	529.07	1.7551e-002	-2.1447e-003	
39	542.2	1.9051e-002	-7.3256e-003	
40	555.33	1.7675e-002	-2.0626e-002	
41	568.47	-5.9977e-003	-2.7426e-002	
42	581.6	-1.4248e-002	-1.0977e-002	
43	594.73	-1.2218e-002	-3.2632e-003	
44	607.87	-1.0784e-002	1.2998e-003	
45	621.	-7.6453e-003	6.9521e-003	
46	634.13	1.7788e-004	6.8861e-003	
47	647.27	1.7857e-003	2.8613e-003	
48	660.4	1.3103e-003	1.2182e-003	
49	673.53	8.8546e-004	5.9565e-004	
50	686.67	6.1886e-004	3.2352e-004	
51	699.8	4.5415e-004	1.8868e-004	
52	712.93	3.4996e-004	1.1489e-004	
53	726.07	2.8264e-004	7.0944e-005	
54	739.2	2.3891e-004	4.2443e-005	
55	752.33	2.1131e-004	2.1948e-005	
56	765.47	1.9574e-004	4.9697e-006	
57	778.6	1.9026e-004	-1.2027e-005	
58	791.73	1.9446e-004	-3.3153e-005	
59	804.87	2.0907e-004	-6.5351e-005	
60	818.	2.3422e-004	-1.2343e-004	
61	831.13	2.5903e-004	-2.426e-004	
62	844.27	2.0224e-004	-4.9507e-004	
63	857.4	-2.9461e-004	-8.0793e-004	
64	870.53	-1.1479e-003	-9.1802e-005	
65	883.67	-2.9442e-004	9.5722e-004	
66	896.8	4.654e-004	3.01e-004	
67	909.93	1.9828e-004	-9.3757e-005	
68	923.07	3.8028e-005	-7.1241e-005	
69	936.2	3.7471e-006	-3.3111e-005	
70	949.33	-1.7802e-006	-1.5863e-005	
71	962.47	-2.0525e-006	-8.5783e-006	
72	975.6	-1.5601e-006	-5.3319e-006	
73	988.73	-1.1038e-006	-3.7705e-006	
74	1001.9	-7.8026e-007	-2.9564e-006	
75	1015.	-5.6389e-007	-2.4954e-006	
76	1028.1	-4.1993e-007	-2.2113e-006	
77	1041.3	-3.2273e-007	-2.0208e-006	
78	1054.4	-2.5552e-007	-1.8825e-006	
79	1067.5	-2.0748e-007	-1.7746e-006	
80	1080.7	-1.711e-007	-1.6858e-006	
81	1093.8	-1.4153e-007	-1.6119e-006	
82	1106.9	-1.2189e-007	-1.5514e-006	
83	1120.1	-1.1308e-007	-1.4919e-006	
84	1133.2	-1.0219e-007	-1.4312e-006	
85	1146.3	-8.9732e-008	-1.3775e-006	
86	1159.5	-7.9805e-008	-1.329e-006	
87	1172.6	-7.1921e-008	-1.2834e-006	
88	1185.7	-6.5314e-008	-1.2401e-006	
89	1198.9	-5.9611e-008	-1.199e-006	
90	1212.	-5.4611e-008	-1.1598e-006	
91	1225.1	-5.0183e-008	-1.1225e-006	
92	1238.3	-4.6233e-008	-1.0868e-006	
93	1251.4	-4.2688e-008	-1.0526e-006	
94	1264.5	-3.949e-008	-1.02e-006	
95	1277.7	-3.6592e-008	-9.8867e-007	
96	1290.8	-3.3957e-008	-9.5868e-007	
97	1303.9	-3.1552e-008	-9.2992e-007	
98	1317.1	-2.9352e-008	-9.0231e-007	
99	1330.2	-2.7333e-008	-8.758e-007	
100	1343.3	-2.5476e-008	-8.5034e-007	
101	1356.5	-2.3765e-008	-8.2586e-007	
102	1369.6	-2.2184e-008	-8.0232e-007	
103	1382.7	-2.0723e-008	-7.7967e-007	
104	1395.9	-1.9369e-008	-7.5788e-007	
105	1409.	-1.8112e-008	-7.3689e-007	
106	1422.1	-1.6945e-008	-7.1667e-007	
107	1435.3	-1.5859e-008	-6.972e-007	
108	1448.4	-1.4848e-008	-6.7842e-007	
109	1461.5	-1.3905e-008	-6.6031e-007	
110	1474.7	-1.3025e-008	-6.4285e-007	
111	1487.8	-1.2203e-008	-6.26e-007	
112	1500.9	-1.1434e-008	-6.0973e-007	
113	1514.1	-1.0714e-008	-5.9402e-007	
114	1527.2	-1.004e-008	-5.7885e-007	
115	1540.3	-9.4086e-009	-5.6419e-007	
116	1553.5	-8.816e-009	-5.5003e-007	
117	1566.6	-8.2598e-009	-5.3633e-007	
118	1579.7	-7.7374e-009	-5.2309e-007	
119	1592.9	-7.2465e-009	-5.1028e-007	
120	1606.	-6.785e-009	-4.9788e-007	
121	1619.1	-6.3508e-009	-4.8588e-007	
122	1632.3	-5.9422e-009	-4.7427e-007	
123	1645.4	-5.5577e-009	-4.6302e-007	
124	1658.5	-5.1955e-009	-4.5213e-007	
125	1671.7	-4.8545e-009	-4.4157e-007	
126	1684.8	-4.5332e-009	-4.3134e-007	
127	1697.9	-4.2307e-009	-4.2142e-007	
128	1711.1	-3.9458e-009	-4.1181e-007	
129	1724.2	-3.6776e-009	-4.0248e-007	
130	1737.3	-3.4252e-009	-3.9343e-007	
131	1750.5	-3.1878e-009	-3.8465e-007	
132	1763.6	-2.9645e-009	-3.7612e-007	
133	1776.7	-2.7541e-009	-3.6784e-007	
134	1789.9	-2.555e-009	-3.5979e-007	
135	1803.	-2.3638e-009	-3.5197e-007	
136	1816.1	-2.1742e-009	-3.4436e-007	
137	1829.3	-1.9742e-009	-3.3695e-007	
138	1842.4	-1.7482e-009	-3.2975e-007	
139	1855.5	-1.4951e-009	-3.2279e-007	
140	1868.7	-1.2547e-009	-3.1609e-007	
141	1881.8	-1.076e-009	-3.0961e-007	
142	1894.9	-9.5307e-010	-3.0329e-007	
143	1908.1	-8.503e-010	-2.9711e-007	
144	1921.2	-7.4948e-010	-2.9108e-007	
145	1934.3	-6.4844e-010	-2.8521e-007	
146	1947.5	-5.4896e-010	-2.795e-007	
147	1960.6	-4.5246e-010	-2.7393e-007	
148	1973.7	-3.5963e-010	-2.6851e-007	
149	1986.9	-2.7073e-010	-2.6323e-007	
150	2000.	-1.8578e-010	-2.5809e-007	
