	Frequency [Hz]	[A] Frequency Response (Real) [N]	[B] Frequency Response (Imaginary) [N]	
1	43.133	0.67156	-1.3661e-003	
2	56.267	0.43452	-2.0316e-003	
3	69.4	0.32458	-2.9912e-003	
4	82.533	0.27078	-4.4961e-003	
5	95.667	0.24929	-7.1056e-003	
6	108.8	0.25429	-1.229e-002	
7	121.93	0.29483	-2.5028e-002	
8	135.07	0.41949	-7.1784e-002	
9	148.2	0.8922	-0.57014	
10	161.33	-0.69376	-0.37752	
11	174.47	-0.29313	-5.9502e-002	
12	187.6	-0.17844	-2.1527e-002	
13	200.73	-0.12994	-1.0005e-002	
14	213.87	-0.10572	-4.6921e-003	
15	227.	-9.358e-002	-1.319e-003	
16	240.13	-8.9284e-002	1.6786e-003	
17	253.27	-9.1935e-002	5.4806e-003	
18	266.4	-0.10344	1.2214e-002	
19	279.53	-0.13094	2.8916e-002	
20	292.67	-0.19359	9.511e-002	
21	305.8	-5.7672e-002	0.4118	
22	318.93	0.17765	0.11515	
23	332.07	0.10855	3.2992e-002	
24	345.2	7.5968e-002	1.3908e-002	
25	358.33	5.9763e-002	6.7335e-003	
26	371.47	5.1214e-002	3.0531e-003	
27	384.6	4.7052e-002	5.7083e-004	
28	397.73	4.6044e-002	-1.6749e-003	
29	410.87	4.7978e-002	-4.4145e-003	
30	424.	5.3516e-002	-8.7704e-003	
31	437.13	6.4563e-002	-1.7543e-002	
32	450.27	8.4595e-002	-4.0399e-002	
33	463.4	0.10073	-0.11755	
34	476.53	-5.5155e-002	-0.19475	
35	489.67	-0.11061	-6.9845e-002	
36	502.8	-8.8077e-002	-2.3935e-002	
37	515.93	-7.5531e-002	-6.7087e-003	
38	529.07	-7.2607e-002	4.9647e-003	
39	542.2	-7.7569e-002	2.117e-002	
40	555.33	-8.4006e-002	5.9646e-002	
41	568.47	-2.6047e-002	0.12448	
42	581.6	5.119e-002	7.2563e-002	
43	594.73	4.5771e-002	2.8644e-002	
44	607.87	3.5072e-002	1.2987e-002	
45	621.	2.8486e-002	6.2697e-003	
46	634.13	2.4951e-002	2.5004e-003	
47	647.27	2.3563e-002	-4.6806e-004	
48	660.4	2.3943e-002	-4.032e-003	
49	673.53	2.5684e-002	-1.0386e-002	
50	686.67	2.4778e-002	-2.4184e-002	
51	699.8	3.8893e-003	-3.8463e-002	
52	712.93	-1.6041e-002	-2.3773e-002	
53	726.07	-1.624e-002	-1.0513e-002	
54	739.2	-1.3761e-002	-4.5021e-003	
55	752.33	-1.2168e-002	-1.0542e-003	
56	765.47	-1.1277e-002	2.2772e-003	
57	778.6	-9.0606e-003	6.98e-003	
58	791.73	-2.244e-003	9.1384e-003	
59	804.87	1.7813e-003	5.354e-003	
60	818.	1.9212e-003	2.591e-003	
61	831.13	1.4424e-003	1.3441e-003	
62	844.27	1.0419e-003	7.6208e-004	
63	857.4	7.6355e-004	4.6409e-004	
64	870.53	5.7357e-004	2.9847e-004	
65	883.67	4.4205e-004	2.0015e-004	
66	896.8	3.4906e-004	1.3864e-004	
67	909.93	2.819e-004	9.8463e-005	
68	923.07	2.3245e-004	7.126e-005	
69	936.2	1.9544e-004	5.2259e-005	
70	949.33	1.6736e-004	3.861e-005	
71	962.47	1.4585e-004	2.854e-005	
72	975.6	1.2926e-004	2.0909e-005	
73	988.73	1.1647e-004	1.4959e-005	
74	1001.9	1.0666e-004	1.0161e-005	
75	1015.	9.9283e-005	6.1357e-006	
76	1028.1	9.3935e-005	2.5889e-006	
77	1041.3	9.0368e-005	-7.2616e-007	
78	1054.4	8.8438e-005	-4.0421e-006	
79	1067.5	8.8097e-005	-7.6103e-006	
80	1080.7	8.9397e-005	-1.1741e-005	
81	1093.8	9.2491e-005	-1.6861e-005	
82	1106.9	9.765e-005	-2.3614e-005	
83	1120.1	1.0527e-004	-3.3037e-005	
84	1133.2	1.1586e-004	-4.6886e-005	
85	1146.3	1.2988e-004	-6.8295e-005	
86	1159.5	1.4707e-004	-1.0307e-004	
87	1172.6	1.6406e-004	-1.6218e-004	
88	1185.7	1.6598e-004	-2.6528e-004	
89	1198.9	1.0021e-004	-4.3623e-004	
90	1212.	-1.7008e-004	-6.3294e-004	
91	1225.1	-7.2846e-004	-5.3112e-004	
92	1238.3	-1.0403e-003	1.9823e-004	
93	1251.4	-4.9727e-004	9.0975e-004	
94	1264.5	3.1715e-004	7.7605e-004	
95	1277.7	5.3225e-004	1.9487e-004	
96	1290.8	3.0615e-004	-1.1706e-004	
97	1303.9	1.0725e-004	-1.3684e-004	
98	1317.1	2.6451e-005	-8.8823e-005	
99	1330.2	1.6383e-006	-5.1882e-005	
100	1343.3	-4.5498e-006	-3.0496e-005	
101	1356.5	-5.2335e-006	-1.8647e-005	
102	1369.6	-4.4959e-006	-1.1983e-005	
103	1382.7	-3.55e-006	-8.1131e-006	
104	1395.9	-2.7221e-006	-5.7847e-006	
105	1409.	-2.0694e-006	-4.3338e-006	
106	1422.1	-1.5741e-006	-3.3987e-006	
107	1435.3	-1.203e-006	-2.7766e-006	
108	1448.4	-9.2569e-007	-2.3497e-006	
109	1461.5	-7.1776e-007	-2.048e-006	
110	1474.7	-5.6097e-007	-1.8285e-006	
111	1487.8	-4.4192e-007	-1.6642e-006	
112	1500.9	-3.5083e-007	-1.5378e-006	
113	1514.1	-2.806e-007	-1.4379e-006	
114	1527.2	-2.2603e-007	-1.3569e-006	
115	1540.3	-1.8332e-007	-1.2897e-006	
116	1553.5	-1.4965e-007	-1.2326e-006	
117	1566.6	-1.2292e-007	-1.1832e-006	
118	1579.7	-1.0156e-007	-1.1397e-006	
119	1592.9	-8.438e-008	-1.1007e-006	
120	1606.	-7.0484e-008	-1.0654e-006	
121	1619.1	-5.9177e-008	-1.0329e-006	
122	1632.3	-4.9927e-008	-1.0029e-006	
123	1645.4	-4.232e-008	-9.7492e-007	
124	1658.5	-3.6033e-008	-9.4861e-007	
125	1671.7	-3.0813e-008	-9.2375e-007	
126	1684.8	-2.6456e-008	-9.0016e-007	
127	1697.9	-2.2797e-008	-8.7768e-007	
128	1711.1	-1.9705e-008	-8.5621e-007	
129	1724.2	-1.7091e-008	-8.3566e-007	
130	1737.3	-1.4882e-008	-8.1593e-007	
131	1750.5	-1.3008e-008	-7.9695e-007	
132	1763.6	-1.1409e-008	-7.7866e-007	
133	1776.7	-1.0039e-008	-7.6101e-007	
134	1789.9	-8.8598e-009	-7.4396e-007	
135	1803.	-7.8426e-009	-7.2747e-007	
136	1816.1	-6.9622e-009	-7.1152e-007	
137	1829.3	-6.1978e-009	-6.9607e-007	
138	1842.4	-5.5323e-009	-6.811e-007	
139	1855.5	-4.9512e-009	-6.6658e-007	
140	1868.7	-4.4426e-009	-6.525e-007	
141	1881.8	-3.9962e-009	-6.3883e-007	
142	1894.9	-3.6034e-009	-6.2555e-007	
143	1908.1	-3.2569e-009	-6.1266e-007	
144	1921.2	-2.9507e-009	-6.0012e-007	
145	1934.3	-2.6793e-009	-5.8794e-007	
146	1947.5	-2.4382e-009	-5.7609e-007	
147	1960.6	-2.2238e-009	-5.6457e-007	
148	1973.7	-2.0326e-009	-5.5336e-007	
149	1986.9	-1.8617e-009	-5.4245e-007	
150	2000.	-1.7088e-009	-5.3182e-007	
