	Frequency [Hz]	[A] Frequency Response (Real) [N]	[B] Frequency Response (Imaginary) [N]	
49	401.27	-0.14258	-1.0144e-002	
50	408.85	-0.12562	-6.4491e-003	
51	416.42	-0.11386	-3.8923e-003	
52	424.	-0.10581	-1.9203e-003	
53	431.58	-0.10066	-2.0676e-004	
54	439.15	-9.8028e-002	1.4927e-003	
55	446.73	-9.7867e-002	3.431e-003	
56	454.31	-0.10049	5.974e-003	
57	461.88	-0.10672	9.7943e-003	
58	469.46	-0.11837	1.6387e-002	
59	477.04	-0.13928	3.0015e-002	
60	484.62	-0.17697	6.5907e-002	
61	492.19	-0.21985	0.19522	
62	499.77	5.9382e-002	0.35895	
63	507.35	0.15148	0.11958	
64	514.92	9.9449e-002	4.4651e-002	
65	522.5	6.7453e-002	2.1902e-002	
66	530.08	4.8647e-002	1.2644e-002	
67	537.65	3.6739e-002	8.0792e-003	
68	545.23	2.8698e-002	5.5278e-003	
69	552.81	2.2995e-002	3.9717e-003	
70	560.38	1.8796e-002	2.9601e-003	
71	567.96	1.5611e-002	2.2699e-003	
72	575.54	1.3138e-002	1.7808e-003	
73	583.12	1.1181e-002	1.4233e-003	
74	590.69	9.6061e-003	1.1554e-003	
75	598.27	8.3218e-003	9.5041e-004	
76	605.85	7.2622e-003	7.9062e-004	
77	613.42	6.379e-003	6.6416e-004	
78	621.	5.6362e-003	5.6272e-004	
79	628.58	5.0066e-003	4.8037e-004	
80	636.15	4.4693e-003	4.1281e-004	
81	643.73	4.0078e-003	3.5685e-004	
82	651.31	3.6091e-003	3.101e-004	
83	658.88	3.263e-003	2.7074e-004	
84	666.46	2.9612e-003	2.3736e-004	
85	674.04	2.6969e-003	2.0885e-004	
86	681.62	2.4645e-003	1.8436e-004	
87	689.19	2.2595e-003	1.6318e-004	
88	696.77	2.0782e-003	1.4477e-004	
89	704.35	1.9174e-003	1.2866e-004	
90	711.92	1.7743e-003	1.1449e-004	
91	719.5	1.6469e-003	1.0196e-004	
92	727.08	1.5332e-003	9.0799e-005	
93	734.65	1.4316e-003	8.08e-005	
94	742.23	1.3408e-003	7.1778e-005	
95	749.81	1.2596e-003	6.3572e-005	
96	757.38	1.187e-003	5.6043e-005	
97	764.96	1.1223e-003	4.9062e-005	
98	772.54	1.0646e-003	4.2512e-005	
99	780.12	1.0136e-003	3.6278e-005	
100	787.69	9.6868e-004	3.0245e-005	
101	795.27	9.2951e-004	2.429e-005	
102	802.85	8.9586e-004	1.8276e-005	
103	810.42	8.6761e-004	1.2039e-005	
104	818.	8.4477e-004	5.3672e-006	
105	825.58	8.2748e-004	-2.0261e-006	
106	833.15	8.1602e-004	-1.0544e-005	
107	840.73	8.1087e-004	-2.0556e-005	
108	848.31	8.1329e-004	-3.2746e-005	
109	855.88	8.2478e-004	-4.8662e-005	
110	863.46	8.4746e-004	-7.0445e-005	
111	871.04	8.8477e-004	-1.0189e-004	
112	878.62	9.4196e-004	-1.5029e-004	
113	886.19	1.0266e-003	-2.3091e-004	
114	893.77	1.1467e-003	-3.7861e-004	
115	901.35	1.2894e-003	-6.7897e-004	
116	908.92	1.2806e-003	-1.3044e-003	
117	916.5	4.5454e-004	-2.0097e-003	
118	924.08	-6.0734e-004	-1.5069e-003	
119	931.65	-7.2759e-004	-7.813e-004	
120	939.23	-5.7969e-004	-4.2093e-004	
121	946.81	-4.3954e-004	-2.5047e-004	
122	954.38	-3.3558e-004	-1.6173e-004	
123	961.96	-2.6029e-004	-1.1095e-004	
124	969.54	-2.05e-004	-7.9624e-005	
125	977.12	-1.6355e-004	-5.9134e-005	
126	984.69	-1.3186e-004	-4.51e-005	
127	992.27	-1.0722e-004	-3.513e-005	
128	999.85	-8.7768e-005	-2.7834e-005	
129	1007.4	-7.2222e-005	-2.2362e-005	
130	1015.	-5.9666e-005	-1.8174e-005	
131	1022.6	-4.9434e-005	-1.4914e-005	
132	1030.2	-4.1032e-005	-1.2339e-005	
133	1037.7	-3.409e-005	-1.0278e-005	
134	1045.3	-2.8322e-005	-8.612e-006	
135	1052.9	-2.3507e-005	-7.2515e-006	
136	1060.5	-1.9472e-005	-6.1315e-006	
137	1068.	-1.6081e-005	-5.2026e-006	
138	1075.6	-1.3224e-005	-4.4271e-006	
139	1083.2	-1.081e-005	-3.776e-006	
140	1090.8	-8.7697e-006	-3.2265e-006	
141	1098.3	-7.0423e-006	-2.7606e-006	
142	1105.9	-5.5795e-006	-2.3639e-006	
143	1113.5	-4.3409e-006	-2.0249e-006	
144	1121.1	-3.2928e-006	-1.7342e-006	
145	1128.7	-2.407e-006	-1.4843e-006	
146	1136.2	-1.6598e-006	-1.2688e-006	
147	1143.8	-1.0311e-006	-1.0825e-006	
148	1151.4	-5.0409e-007	-9.2123e-007	
149	1159.	-6.4271e-008	-7.8128e-007	
150	1166.5	3.0064e-007	-6.5966e-007	
151	1174.1	6.0114e-007	-5.5384e-007	
152	1181.7	8.4623e-007	-4.6166e-007	
153	1189.3	1.0437e-006	-3.813e-007	
154	1196.8	1.2001e-006	-3.1118e-007	
155	1204.4	1.3212e-006	-2.4998e-007	
156	1212.	1.4121e-006	-1.9655e-007	
157	1219.6	1.4769e-006	-1.4991e-007	
158	1227.2	1.5194e-006	-1.092e-007	
159	1234.7	1.5428e-006	-7.3701e-008	
160	1242.3	1.5499e-006	-4.2758e-008	
161	1249.9	1.5432e-006	-1.5824e-008	
162	1257.5	1.5247e-006	7.5875e-009	
163	1265.	1.4963e-006	2.7897e-008	
164	1272.6	1.4596e-006	4.5473e-008	
165	1280.2	1.416e-006	6.0639e-008	
166	1287.8	1.3666e-006	7.368e-008	
167	1295.3	1.3126e-006	8.4844e-008	
168	1302.9	1.2548e-006	9.4351e-008	
169	1310.5	1.1941e-006	1.0239e-007	
170	1318.1	1.1312e-006	1.0915e-007	
171	1325.7	1.0665e-006	1.1475e-007	
172	1333.2	1.0007e-006	1.1935e-007	
173	1340.8	9.3424e-007	1.2306e-007	
174	1348.4	8.6744e-007	1.2599e-007	
175	1356.	8.0065e-007	1.2822e-007	
176	1363.5	7.3417e-007	1.2984e-007	
177	1371.1	6.6822e-007	1.3092e-007	
178	1378.7	6.0302e-007	1.3153e-007	
179	1386.3	5.3875e-007	1.3173e-007	
180	1393.8	4.7554e-007	1.3156e-007	
181	1401.4	4.1352e-007	1.3108e-007	
182	1409.	3.5278e-007	1.3032e-007	
183	1416.6	2.9342e-007	1.2932e-007	
184	1424.2	2.3548e-007	1.2812e-007	
185	1431.7	1.7903e-007	1.2674e-007	
186	1439.3	1.2409e-007	1.2521e-007	
187	1446.9	7.069e-008	1.2355e-007	
188	1454.5	1.885e-008	1.2178e-007	
189	1462.	-3.1425e-008	1.1993e-007	
190	1469.6	-8.0136e-008	1.1801e-007	
191	1477.2	-1.2729e-007	1.1604e-007	
192	1484.8	-1.729e-007	1.1403e-007	
193	1492.3	-2.1699e-007	1.12e-007	
194	1499.9	-2.5957e-007	1.0997e-007	
195	1507.5	-3.0068e-007	1.0795e-007	
196	1515.1	-3.4034e-007	1.0599e-007	
197	1522.7	-3.786e-007	1.0411e-007	
198	1530.2	-4.1547e-007	1.0237e-007	
199	1537.8	-4.5095e-007	1.0088e-007	
200	1545.4	-4.8496e-007	9.979e-008	
201	1553.	-5.1715e-007	9.921e-008	
202	1560.5	-5.4688e-007	9.8792e-008	
203	1568.1	-5.7413e-007	9.7185e-008	
204	1575.7	-6.0064e-007	9.38e-008	
205	1583.3	-6.2735e-007	8.9995e-008	
206	1590.8	-6.5371e-007	8.6661e-008	
207	1598.4	-6.7919e-007	8.3826e-008	
208	1606.	-7.036e-007	8.1334e-008	
209	1613.6	-7.2691e-007	7.9063e-008	
210	1621.2	-7.4915e-007	7.694e-008	
211	1628.7	-7.7033e-007	7.4924e-008	
212	1636.3	-7.9052e-007	7.2989e-008	
213	1643.9	-8.0973e-007	7.1122e-008	
214	1651.5	-8.2802e-007	6.9312e-008	
215	1659.	-8.4541e-007	6.7553e-008	
216	1666.6	-8.6193e-007	6.5842e-008	
217	1674.2	-8.7763e-007	6.4175e-008	
218	1681.8	-8.9252e-007	6.2551e-008	
219	1689.3	-9.0663e-007	6.0967e-008	
220	1696.9	-9.2e-007	5.9422e-008	
221	1704.5	-9.3266e-007	5.7915e-008	
222	1712.1	-9.4461e-007	5.6446e-008	
223	1719.7	-9.559e-007	5.5013e-008	
224	1727.2	-9.6655e-007	5.3615e-008	
225	1734.8	-9.7657e-007	5.2252e-008	
226	1742.4	-9.86e-007	5.0923e-008	
227	1750.	-9.9485e-007	4.9627e-008	
228	1757.5	-1.0031e-006	4.8363e-008	
229	1765.1	-1.0109e-006	4.7132e-008	
230	1772.7	-1.0182e-006	4.5931e-008	
231	1780.3	-1.0249e-006	4.476e-008	
232	1787.8	-1.0312e-006	4.362e-008	
233	1795.4	-1.037e-006	4.2508e-008	
234	1803.	-1.0424e-006	4.1425e-008	
235	1810.6	-1.0473e-006	4.0369e-008	
236	1818.2	-1.0519e-006	3.9341e-008	
237	1825.7	-1.056e-006	3.8339e-008	
238	1833.3	-1.0598e-006	3.7362e-008	
239	1840.9	-1.0632e-006	3.6411e-008	
240	1848.5	-1.0663e-006	3.5485e-008	
241	1856.	-1.069e-006	3.4583e-008	
242	1863.6	-1.0714e-006	3.3703e-008	
243	1871.2	-1.0735e-006	3.2847e-008	
244	1878.8	-1.0753e-006	3.2013e-008	
245	1886.3	-1.0768e-006	3.1201e-008	
246	1893.9	-1.078e-006	3.041e-008	
247	1901.5	-1.079e-006	2.9639e-008	
248	1909.1	-1.0797e-006	2.8888e-008	
249	1916.7	-1.0802e-006	2.8157e-008	
250	1924.2	-1.0804e-006	2.7445e-008	
251	1931.8	-1.0805e-006	2.6752e-008	
252	1939.4	-1.0803e-006	2.6077e-008	
253	1947.	-1.0799e-006	2.5419e-008	
254	1954.5	-1.0793e-006	2.4778e-008	
255	1962.1	-1.0785e-006	2.4154e-008	
256	1969.7	-1.0775e-006	2.3547e-008	
257	1977.3	-1.0764e-006	2.2955e-008	
258	1984.8	-1.0751e-006	2.2378e-008	
259	1992.4	-1.0736e-006	2.1817e-008	
260	2000.	-1.072e-006	2.127e-008	
