	Frequency [Hz]	[A] Frequency Response (Real) [N]	[B] Frequency Response (Imaginary) [N]	
1	37.577	1.4884	-6.4324e-004	
2	45.154	1.0388	-6.5088e-004	
3	52.731	0.7687	-6.6008e-004	
4	60.308	0.59394	-6.7092e-004	
5	67.885	0.47447	-6.8351e-004	
6	75.462	0.38924	-6.9798e-004	
7	83.038	0.32637	-7.1446e-004	
8	90.615	0.27871	-7.3307e-004	
9	98.192	0.24177	-7.5232e-004	
10	105.77	0.2126	-7.7795e-004	
11	113.35	0.18922	-8.0465e-004	
12	120.92	0.17023	-8.3456e-004	
13	128.5	0.15464	-8.6811e-004	
14	136.08	0.14174	-9.0576e-004	
15	143.65	0.13099	-9.4806e-004	
16	151.23	0.12198	-9.9565e-004	
17	158.81	0.11443	-1.0493e-003	
18	166.38	0.10809	-1.11e-003	
19	173.96	0.10277	-1.1788e-003	
20	181.54	9.835e-002	-1.2572e-003	
21	189.12	9.4711e-002	-1.3468e-003	
22	196.69	9.1775e-002	-1.4498e-003	
23	204.27	8.9481e-002	-1.5688e-003	
24	211.85	8.7788e-002	-1.7071e-003	
25	219.42	8.6674e-002	-1.8692e-003	
26	227.	8.613e-002	-2.0605e-003	
27	234.58	8.6167e-002	-2.2884e-003	
28	242.15	8.6814e-002	-2.5628e-003	
29	249.73	8.8125e-002	-2.897e-003	
30	257.31	9.0178e-002	-3.3096e-003	
31	264.88	9.3094e-002	-3.8271e-003	
32	272.46	9.7045e-002	-4.4882e-003	
33	280.04	0.10228	-5.3514e-003	
34	287.62	0.10916	-6.5082e-003	
35	295.19	0.11824	-8.1091e-003	
36	302.77	0.13037	-1.0415e-002	
37	310.35	0.14698	-1.391e-002	
38	317.92	0.17054	-1.9583e-002	
39	325.5	0.20575	-2.9707e-002	
40	333.08	0.26268	-5.0503e-002	
41	340.65	0.3661	-0.10416	
42	348.23	0.57726	-0.3131	
43	355.81	0.21688	-1.3401	
44	363.38	-0.63238	-0.40919	
45	370.96	-0.39035	-0.11569	
46	378.54	-0.26979	-5.0248e-002	
47	386.12	-0.20586	-2.6922e-002	
48	393.69	-0.1675	-1.609e-002	
