	Frequency [Hz]	[A] Frequency Response (Real) [N]	[B] Frequency Response (Imaginary) [N]	
1	37.88	1.2078	-5.7543e-004	
2	45.76	0.83492	-5.8283e-004	
3	53.64	0.61402	-5.918e-004	
4	61.52	0.47253	-6.0242e-004	
5	69.4	0.37653	-6.148e-004	
6	77.28	0.30847	-6.2909e-004	
7	85.16	0.25852	-6.4544e-004	
8	93.04	0.22083	-6.6404e-004	
9	100.92	0.19174	-6.851e-004	
10	108.8	0.16886	-7.0876e-004	
11	116.68	0.1506	-7.3576e-004	
12	124.56	0.13582	-7.6603e-004	
13	132.44	0.12376	-8.0015e-004	
14	140.32	0.11382	-8.3864e-004	
15	148.2	0.1056	-8.8213e-004	
16	156.08	9.8774e-002	-9.3136e-004	
17	163.96	9.3104e-002	-9.8724e-004	
18	171.84	8.841e-002	-1.0509e-003	
19	179.72	8.4553e-002	-1.1236e-003	
20	187.6	8.1428e-002	-1.2071e-003	
21	195.48	7.8956e-002	-1.3034e-003	
22	203.36	7.708e-002	-1.4152e-003	
23	211.24	7.5764e-002	-1.5457e-003	
24	219.12	7.4986e-002	-1.6993e-003	
25	227.	7.4743e-002	-1.8815e-003	
26	234.88	7.5048e-002	-2.0997e-003	
27	242.76	7.5936e-002	-2.3637e-003	
28	250.64	7.7461e-002	-2.6873e-003	
29	258.52	7.9711e-002	-3.0894e-003	
30	266.4	8.2812e-002	-3.5974e-003	
31	274.28	8.6946e-002	-4.2514e-003	
32	282.16	9.2378e-002	-5.1131e-003	
33	290.04	9.95e-002	-6.2799e-003	
34	297.92	0.10891	-7.9143e-003	
35	305.8	0.12155	-1.0303e-002	
36	313.68	0.13901	-1.3993e-002	
37	321.56	0.1641	-2.0132e-002	
38	329.44	0.2024	-3.1472e-002	
39	337.32	0.26629	-5.6041e-002	
40	345.2	0.38788	-0.12558	
41	353.08	0.63293	-0.44832	
42	360.96	-0.3986	-1.2519	
43	368.84	-0.55007	-0.25645	
44	376.72	-0.34816	-8.307e-002	
45	384.6	-0.25175	-3.8189e-002	
46	392.48	-0.19935	-2.0688e-002	
47	400.36	-0.16772	-1.2009e-002	
48	408.24	-0.14754	-6.9113e-003	
49	416.12	-0.13454	-3.4415e-003	
50	424.	-0.12663	-6.9142e-004	
