	Frequency [Hz]	[A] Frequency Response (Real) [N]	[B] Frequency Response (Imaginary) [N]	
1	37.88	1.9116	-7.1404e-004	
2	45.76	1.319	-7.2122e-004	
3	53.64	0.96781	-7.2987e-004	
4	61.52	0.74281	-7.4008e-004	
5	69.4	0.59009	-7.5192e-004	
6	77.28	0.48176	-7.655e-004	
7	85.16	0.40219	-7.8093e-004	
8	93.04	0.34207	-7.9835e-004	
9	100.92	0.29559	-8.1793e-004	
10	108.8	0.25895	-8.3985e-004	
11	116.68	0.2296	-8.6433e-004	
12	124.56	0.20577	-8.9161e-004	
13	132.44	0.1862	-9.2187e-004	
14	140.32	0.16997	-9.554e-004	
15	148.2	0.15641	-9.936e-004	
16	156.08	0.14501	-1.0357e-003	
17	163.96	0.13538	-1.0826e-003	
18	171.84	0.12722	-1.1351e-003	
19	179.72	0.1203	-1.194e-003	
20	187.6	0.11444	-1.2601e-003	
21	195.48	0.10949	-1.3346e-003	
22	203.36	0.10535	-1.4189e-003	
23	211.24	0.10193	-1.5147e-003	
24	219.12	9.9159e-002	-1.624e-003	
25	227.	9.699e-002	-1.7494e-003	
26	234.88	9.5389e-002	-1.8941e-003	
27	242.76	9.434e-002	-2.0622e-003	
28	250.64	9.3836e-002	-2.2589e-003	
29	258.52	9.389e-002	-2.4911e-003	
30	266.4	9.4527e-002	-2.7678e-003	
31	274.28	9.5796e-002	-3.101e-003	
32	282.16	9.7765e-002	-3.5075e-003	
33	290.04	0.10054	-4.0103e-003	
34	297.92	0.10427	-4.6428e-003	
35	305.8	0.10915	-5.4542e-003	
36	313.68	0.1155	-6.5195e-003	
37	321.56	0.12376	-7.9582e-003	
38	329.44	0.13459	-9.9695e-003	
39	337.32	0.14906	-1.2907e-002	
40	345.2	0.16896	-1.7447e-002	
41	353.08	0.19746	-2.5019e-002	
42	360.96	0.24083	-3.909e-002	
43	368.84	0.31294	-6.9888e-002	
44	376.72	0.4485	-0.15848	
45	384.6	0.68424	-0.5678	
46	392.48	-0.47989	-1.1673	
47	400.36	-0.5323	-0.26195	
48	408.24	-0.33729	-9.1722e-002	
49	416.12	-0.23914	-4.4527e-002	
50	424.	-0.18344	-2.5717e-002	
51	431.88	-0.14816	-1.6467e-002	
52	439.76	-0.12404	-1.1272e-002	
53	447.64	-0.10665	-8.0733e-003	
54	455.52	-9.3609e-002	-5.9646e-003	
55	463.4	-8.3544e-002	-4.4988e-003	
56	471.28	-7.5606e-002	-3.4343e-003	
57	479.16	-6.9243e-002	-2.6316e-003	
58	487.04	-6.4084e-002	-2.0054e-003	
59	494.92	-5.9871e-002	-1.5012e-003	
60	502.8	-5.6422e-002	-1.0837e-003	
61	510.68	-5.3612e-002	-7.2905e-004	
62	518.56	-5.1337e-002	-3.9801e-004	
63	526.44	-4.9521e-002	-9.5595e-005	
64	534.32	-4.8125e-002	1.9332e-004	
65	542.2	-4.7119e-002	4.824e-004	
66	550.08	-4.6486e-002	7.8423e-004	
67	557.96	-4.6226e-002	1.1127e-003	
68	565.84	-4.6357e-002	1.4848e-003	
69	573.72	-4.6912e-002	1.9234e-003	
70	581.6	-4.7951e-002	2.4607e-003	
71	589.48	-4.957e-002	3.145e-003	
72	597.36	-5.1915e-002	4.0534e-003	
73	605.24	-5.5213e-002	5.3149e-003	
74	613.12	-5.9825e-002	7.1611e-003	
75	621.	-6.6351e-002	1.0042e-002	
76	628.88	-7.5821e-002	1.4926e-002	
77	636.76	-9.0066e-002	2.4183e-002	
78	644.64	-0.11202	4.4706e-002	
79	652.52	-0.14015	0.1003	
80	660.4	-8.985e-002	0.23687	
81	668.28	0.10661	0.18895	
82	676.16	0.10762	7.4435e-002	
83	684.04	7.8559e-002	3.4521e-002	
84	691.92	5.8587e-002	1.9132e-002	
85	699.8	4.5516e-002	1.1939e-002	
86	707.68	3.6577e-002	8.0705e-003	
87	715.56	3.0172e-002	5.7727e-003	
88	723.44	2.5404e-002	4.3053e-003	
89	731.32	2.1742e-002	3.3153e-003	
90	739.2	1.8857e-002	2.6182e-003	
91	747.08	1.6538e-002	2.1102e-003	
92	754.96	1.4641e-002	1.7295e-003	
93	762.84	1.3067e-002	1.4375e-003	
94	770.72	1.1745e-002	1.2091e-003	
95	778.6	1.0624e-002	1.0273e-003	
96	786.48	9.6627e-003	8.8047e-004	
97	794.36	8.8329e-003	7.6041e-004	
98	802.24	8.1114e-003	6.6109e-004	
