	Frequency [Hz]	[A] Frequency Response (Real) [N]	[B] Frequency Response (Imaginary) [N]	
1	37.577	1.407	-6.21e-004	
2	45.154	0.9821	-6.2844e-004	
3	52.731	0.72689	-6.374e-004	
4	60.308	0.56177	-6.4796e-004	
5	67.885	0.44888	-6.6023e-004	
6	75.462	0.36835	-6.7433e-004	
7	83.038	0.30895	-6.904e-004	
8	90.615	0.26393	-7.0859e-004	
9	98.192	0.22903	-7.2875e-004	
10	105.77	0.20149	-7.522e-004	
11	113.35	0.1794	-7.7827e-004	
12	120.92	0.16147	-8.0743e-004	
13	128.5	0.14676	-8.4014e-004	
14	136.08	0.13459	-8.7684e-004	
15	143.65	0.12445	-9.1808e-004	
16	151.23	0.11597	-9.6449e-004	
17	158.81	0.10886	-1.0168e-003	
18	166.38	0.10289	-1.076e-003	
19	173.96	9.79e-002	-1.1431e-003	
20	181.54	9.3756e-002	-1.2195e-003	
21	189.12	9.0357e-002	-1.3069e-003	
22	196.69	8.7625e-002	-1.4073e-003	
23	204.27	8.5505e-002	-1.5233e-003	
24	211.85	8.396e-002	-1.6582e-003	
25	219.42	8.2967e-002	-1.8161e-003	
26	227.	8.2521e-002	-2.0025e-003	
27	234.58	8.2633e-002	-2.2244e-003	
28	242.15	8.3332e-002	-2.4914e-003	
29	249.73	8.467e-002	-2.8164e-003	
30	257.31	8.6725e-002	-3.2172e-003	
31	264.88	8.9611e-002	-3.7193e-003	
32	272.46	9.3496e-002	-4.3597e-003	
33	280.04	9.8617e-002	-5.1941e-003	
34	287.62	0.10532	-6.3094e-003	
35	295.19	0.11414	-7.8474e-003	
36	302.77	0.12588	-1.0052e-002	
37	310.35	0.14188	-1.3374e-002	
38	317.92	0.16443	-1.8718e-002	
39	325.5	0.19789	-2.8134e-002	
40	333.08	0.25139	-4.7095e-002	
41	340.65	0.34698	-9.437e-002	
42	348.23	0.54131	-0.26701	
43	355.81	0.43808	-1.214	
44	363.38	-0.66628	-0.4957	
45	370.96	-0.41561	-0.13097	
46	378.54	-0.28446	-5.4722e-002	
47	386.12	-0.21618	-2.864e-002	
48	393.69	-0.17586	-1.679e-002	
49	401.27	-0.15004	-1.0352e-002	
50	408.85	-0.13276	-6.3539e-003	
51	416.42	-0.12106	-3.5554e-003	
52	424.	-0.11339	-1.3381e-003	
53	431.58	-0.10896	6.7805e-004	
54	439.15	-0.10748	2.8084e-003	
55	446.73	-0.10909	5.4331e-003	
56	454.31	-0.1145	9.192e-003	
57	461.88	-0.12529	1.5456e-002	
58	469.46	-0.14497	2.7696e-002	
59	477.04	-0.18099	5.8084e-002	
60	484.62	-0.23564	0.16189	
61	492.19	-3.9728e-002	0.41428	
62	499.77	0.17564	0.16644	
63	507.35	0.11797	5.7402e-002	
64	514.92	7.8742e-002	2.6769e-002	
65	522.5	5.608e-002	1.4995e-002	
66	530.08	4.1989e-002	9.3957e-003	
67	537.65	3.2605e-002	6.3407e-003	
68	545.23	2.602e-002	4.5094e-003	
69	552.81	2.1209e-002	3.3344e-003	
70	560.38	1.7584e-002	2.5408e-003	
71	567.96	1.4784e-002	1.9828e-003	
72	575.54	1.2576e-002	1.5778e-003	
73	583.12	1.0806e-002	1.276e-003	
74	590.69	9.3668e-003	1.046e-003	
75	598.27	8.1822e-003	8.6746e-004	
76	605.85	7.1969e-003	7.2666e-004	
77	613.42	6.3698e-003	6.1402e-004	
78	621.	5.6699e-003	5.2281e-004	
79	628.58	5.0733e-003	4.4812e-004	
80	636.15	4.5616e-003	3.8635e-004	
81	643.73	4.1202e-003	3.3481e-004	
82	651.31	3.7375e-003	2.9143e-004	
83	658.88	3.4041e-003	2.5465e-004	
84	666.46	3.1126e-003	2.2322e-004	
85	674.04	2.8567e-003	1.9619e-004	
86	681.62	2.6314e-003	1.7277e-004	
87	689.19	2.4324e-003	1.5234e-004	
88	696.77	2.2564e-003	1.344e-004	
89	704.35	2.1005e-003	1.1852e-004	
90	711.92	1.962e-003	1.0436e-004	
91	719.5	1.8391e-003	9.1626e-005	
92	727.08	1.7301e-003	8.0061e-005	
93	734.65	1.6334e-003	6.9443e-005	
94	742.23	1.5479e-003	5.9571e-005	
95	749.81	1.4727e-003	5.0256e-005	
96	757.38	1.4068e-003	4.1312e-005	
97	764.96	1.3498e-003	3.2551e-005	
98	772.54	1.3013e-003	2.3764e-005	
99	780.12	1.2608e-003	1.4711e-005	
100	787.69	1.2286e-003	5.0994e-006	
101	795.27	1.2046e-003	-5.4538e-006	
102	802.85	1.1894e-003	-1.7469e-005	
103	810.42	1.1839e-003	-3.1695e-005	
104	818.	1.1895e-003	-4.9254e-005	
105	825.58	1.2082e-003	-7.1919e-005	
106	833.15	1.2435e-003	-1.0264e-004	
107	840.73	1.3004e-003	-1.4666e-004	
108	848.31	1.3867e-003	-2.1389e-004	
109	855.88	1.5141e-003	-3.2493e-004	
110	863.46	1.6963e-003	-5.2636e-004	
111	871.04	1.9274e-003	-9.2951e-004	
112	878.62	2.0358e-003	-1.7938e-003	
113	886.19	1.0576e-003	-3.0771e-003	
114	893.77	-8.5664e-004	-2.6173e-003	
115	901.35	-1.2189e-003	-1.3546e-003	
116	908.92	-9.8676e-004	-7.0909e-004	
117	916.5	-7.4988e-004	-4.1286e-004	
118	924.08	-5.7424e-004	-2.6284e-004	
119	931.65	-4.4779e-004	-1.7875e-004	
120	939.23	-3.5535e-004	-1.2763e-004	
121	946.81	-2.8622e-004	-9.4552e-005	
122	954.38	-2.334e-004	-7.2074e-005	
123	961.96	-1.9228e-004	-5.6197e-005	
124	969.54	-1.5973e-004	-4.4627e-005	
