	Frequency [Hz]	[A] Frequency Response (Real) [N]	[B] Frequency Response (Imaginary) [N]	
125	977.12	-1.3362e-004	-3.5977e-005	
126	984.69	-1.1242e-004	-2.9369e-005	
127	992.27	-9.5048e-005	-2.4231e-005	
128	999.85	-8.0681e-005	-2.0174e-005	
129	1007.4	-6.8712e-005	-1.6927e-005	
130	1015.	-5.8676e-005	-1.4299e-005	
131	1022.6	-5.0214e-005	-1.215e-005	
132	1030.2	-4.3044e-005	-1.0377e-005	
133	1037.7	-3.6942e-005	-8.9037e-006	
134	1045.3	-3.1729e-005	-7.67e-006	
135	1052.9	-2.726e-005	-6.6306e-006	
136	1060.5	-2.3418e-005	-5.7499e-006	
137	1068.	-2.0107e-005	-5.e-006	
138	1075.6	-1.7247e-005	-4.3584e-006	
139	1083.2	-1.4771e-005	-3.8072e-006	
140	1090.8	-1.2625e-005	-3.3318e-006	
141	1098.3	-1.0762e-005	-2.9204e-006	
142	1105.9	-9.1423e-006	-2.5632e-006	
143	1113.5	-7.7336e-006	-2.2522e-006	
144	1121.1	-6.5074e-006	-1.9807e-006	
145	1128.7	-5.4396e-006	-1.743e-006	
146	1136.2	-4.5097e-006	-1.5345e-006	
147	1143.8	-3.7e-006	-1.3512e-006	
148	1151.4	-2.9952e-006	-1.1898e-006	
149	1159.	-2.3822e-006	-1.0473e-006	
150	1166.5	-1.8494e-006	-9.2147e-007	
151	1174.1	-1.3871e-006	-8.1008e-007	
152	1181.7	-9.8651e-007	-7.1137e-007	
153	1189.3	-6.4023e-007	-6.2379e-007	
154	1196.8	-3.4166e-007	-5.4601e-007	
155	1204.4	-8.5043e-008	-4.7686e-007	
156	1212.	1.3465e-007	-4.1533e-007	
157	1219.6	3.2183e-007	-3.6054e-007	
158	1227.2	4.8039e-007	-3.1173e-007	
159	1234.7	6.1375e-007	-2.6822e-007	
160	1242.3	7.2492e-007	-2.2941e-007	
161	1249.9	8.1657e-007	-1.948e-007	
162	1257.5	8.9103e-007	-1.6392e-007	
163	1265.	9.5038e-007	-1.3637e-007	
164	1272.6	9.9646e-007	-1.1179e-007	
165	1280.2	1.0309e-006	-8.987e-008	
166	1287.8	1.0551e-006	-7.0325e-008	
167	1295.3	1.0704e-006	-5.2907e-008	
168	1302.9	1.0779e-006	-3.7396e-008	
169	1310.5	1.0786e-006	-2.3594e-008	
170	1318.1	1.0734e-006	-1.1326e-008	
171	1325.7	1.0631e-006	-4.3434e-010	
172	1333.2	1.0483e-006	9.2202e-009	
173	1340.8	1.0298e-006	1.7763e-008	
174	1348.4	1.008e-006	2.5307e-008	
175	1356.	9.8352e-007	3.1953e-008	
176	1363.5	9.5668e-007	3.779e-008	
177	1371.1	9.2791e-007	4.29e-008	
178	1378.7	8.9756e-007	4.7356e-008	
179	1386.3	8.6592e-007	5.1223e-008	
180	1393.8	8.3326e-007	5.456e-008	
181	1401.4	7.9982e-007	5.7421e-008	
182	1409.	7.658e-007	5.9853e-008	
183	1416.6	7.314e-007	6.19e-008	
184	1424.2	6.9677e-007	6.3601e-008	
185	1431.7	6.6205e-007	6.4991e-008	
186	1439.3	6.2737e-007	6.6101e-008	
187	1446.9	5.9284e-007	6.6961e-008	
188	1454.5	5.5855e-007	6.7597e-008	
189	1462.	5.2459e-007	6.8032e-008	
190	1469.6	4.9102e-007	6.8288e-008	
191	1477.2	4.579e-007	6.8385e-008	
192	1484.8	4.2528e-007	6.8339e-008	
193	1492.3	3.9322e-007	6.8168e-008	
194	1499.9	3.6174e-007	6.7885e-008	
195	1507.5	3.3088e-007	6.7506e-008	
196	1515.1	3.0065e-007	6.7042e-008	
197	1522.7	2.7108e-007	6.6506e-008	
198	1530.2	2.4219e-007	6.591e-008	
199	1537.8	2.1397e-007	6.5265e-008	
200	1545.4	1.8643e-007	6.4586e-008	
201	1553.	1.5959e-007	6.3887e-008	
202	1560.5	1.3343e-007	6.3189e-008	
203	1568.1	1.0796e-007	6.252e-008	
204	1575.7	8.3177e-008	6.1925e-008	
205	1583.3	5.9124e-008	6.147e-008	
206	1590.8	3.5917e-008	6.1235e-008	
207	1598.4	1.3833e-008	6.1185e-008	
208	1606.	-6.8665e-009	6.0858e-008	
209	1613.6	-2.6681e-008	5.9602e-008	
210	1621.2	-4.6453e-008	5.7734e-008	
211	1628.7	-6.6172e-008	5.5935e-008	
212	1636.3	-8.5503e-008	5.4391e-008	
213	1643.9	-1.0427e-007	5.305e-008	
214	1651.5	-1.2242e-007	5.1839e-008	
215	1659.	-1.3994e-007	5.071e-008	
216	1666.6	-1.5685e-007	4.9635e-008	
217	1674.2	-1.7317e-007	4.8599e-008	
218	1681.8	-1.889e-007	4.7591e-008	
219	1689.3	-2.0407e-007	4.6607e-008	
220	1696.9	-2.1869e-007	4.5643e-008	
221	1704.5	-2.3278e-007	4.4697e-008	
222	1712.1	-2.4635e-007	4.3767e-008	
223	1719.7	-2.5942e-007	4.2854e-008	
224	1727.2	-2.7201e-007	4.1957e-008	
225	1734.8	-2.8411e-007	4.1075e-008	
226	1742.4	-2.9576e-007	4.0208e-008	
227	1750.	-3.0695e-007	3.9356e-008	
228	1757.5	-3.1772e-007	3.852e-008	
229	1765.1	-3.2806e-007	3.7699e-008	
230	1772.7	-3.3798e-007	3.6892e-008	
231	1780.3	-3.4752e-007	3.6101e-008	
232	1787.8	-3.5666e-007	3.5324e-008	
233	1795.4	-3.6543e-007	3.4562e-008	
234	1803.	-3.7383e-007	3.3815e-008	
235	1810.6	-3.8189e-007	3.3083e-008	
236	1818.2	-3.896e-007	3.2365e-008	
237	1825.7	-3.9698e-007	3.1662e-008	
238	1833.3	-4.0404e-007	3.0973e-008	
239	1840.9	-4.1078e-007	3.0297e-008	
240	1848.5	-4.1723e-007	2.9636e-008	
241	1856.	-4.2338e-007	2.8989e-008	
242	1863.6	-4.2925e-007	2.8355e-008	
243	1871.2	-4.3485e-007	2.7735e-008	
244	1878.8	-4.4018e-007	2.7127e-008	
245	1886.3	-4.4525e-007	2.6533e-008	
246	1893.9	-4.5008e-007	2.5952e-008	
247	1901.5	-4.5466e-007	2.5383e-008	
248	1909.1	-4.5901e-007	2.4826e-008	
249	1916.7	-4.6314e-007	2.4282e-008	
250	1924.2	-4.6705e-007	2.375e-008	
251	1931.8	-4.7075e-007	2.3229e-008	
252	1939.4	-4.7424e-007	2.272e-008	
253	1947.	-4.7754e-007	2.2222e-008	
254	1954.5	-4.8064e-007	2.1736e-008	
255	1962.1	-4.8356e-007	2.126e-008	
256	1969.7	-4.8631e-007	2.0795e-008	
257	1977.3	-4.8888e-007	2.034e-008	
258	1984.8	-4.9128e-007	1.9896e-008	
259	1992.4	-4.9353e-007	1.9461e-008	
260	2000.	-4.9561e-007	1.9036e-008	
