	Frequency [Hz]	[A] Frequency Response (Real) [N]	[B] Frequency Response (Imaginary) [N]	
1	37.88	1.3114	-6.0117e-004	
2	45.76	0.90626	-6.0881e-004	
3	53.64	0.66623	-6.1807e-004	
4	61.52	0.51247	-6.2903e-004	
5	69.4	0.40814	-6.4181e-004	
6	77.28	0.33418	-6.5655e-004	
7	85.16	0.27989	-6.7341e-004	
8	93.04	0.23892	-6.9259e-004	
9	100.92	0.20728	-7.1408e-004	
10	108.8	0.1824	-7.3883e-004	
11	116.68	0.16253	-7.6659e-004	
12	124.56	0.14645	-7.9783e-004	
13	132.44	0.1333	-8.3303e-004	
14	140.32	0.12247	-8.7274e-004	
15	148.2	0.1135	-9.176e-004	
16	156.08	0.10604	-9.684e-004	
17	163.96	9.9828e-002	-1.0261e-003	
18	171.84	9.4675e-002	-1.0917e-003	
19	179.72	9.0424e-002	-1.1668e-003	
20	187.6	8.6962e-002	-1.253e-003	
21	195.48	8.4203e-002	-1.3525e-003	
22	203.36	8.2083e-002	-1.468e-003	
23	211.24	8.0561e-002	-1.6029e-003	
24	219.12	7.9613e-002	-1.7618e-003	
25	227.	7.9233e-002	-1.9505e-003	
26	234.88	7.9434e-002	-2.1766e-003	
27	242.76	8.025e-002	-2.4506e-003	
28	250.64	8.1738e-002	-2.7869e-003	
29	258.52	8.3989e-002	-3.2056e-003	
30	266.4	8.7134e-002	-3.7356e-003	
31	274.28	9.1367e-002	-4.4201e-003	
32	282.16	9.6969e-002	-5.3251e-003	
33	290.04	0.10436	-6.5561e-003	
34	297.92	0.11418	-8.2906e-003	
35	305.8	0.12746	-1.0845e-002	
36	313.68	0.14592	-1.4832e-002	
37	321.56	0.17272	-2.1562e-002	
38	329.44	0.21417	-3.4268e-002	
39	337.32	0.28466	-6.2777e-002	
40	345.2	0.42243	-0.14875	
41	353.08	0.67392	-0.59342	
42	360.96	-0.61789	-1.0048	
43	368.84	-0.50227	-0.20436	
44	376.72	-0.3234	-7.158e-002	
45	384.6	-0.23695	-3.4252e-002	
46	392.48	-0.18887	-1.8996e-002	
47	400.36	-0.15935	-1.1217e-002	
48	408.24	-0.14027	-6.5656e-003	
49	416.12	-0.12783	-3.3623e-003	
50	424.	-0.12014	-8.0626e-004	
51	431.88	-0.1163	1.5972e-003	
52	439.76	-0.11611	4.2922e-003	
53	447.64	-0.12002	7.8931e-003	
54	455.52	-0.12942	1.3602e-002	
55	463.4	-0.14748	2.4455e-002	
56	471.28	-0.18136	5.0006e-002	
57	479.16	-0.24094	0.13444	
58	487.04	-0.13299	0.42191	
59	494.92	0.19292	0.20945	
60	502.8	0.1317	6.6251e-002	
61	510.68	8.6041e-002	2.9359e-002	
62	518.56	6.0373e-002	1.5973e-002	
63	526.44	4.4754e-002	9.8227e-003	
64	534.32	3.4511e-002	6.5414e-003	
65	542.2	2.7405e-002	4.6055e-003	
66	550.08	2.226e-002	3.3782e-003	
67	557.96	1.8411e-002	2.5569e-003	
68	565.84	1.5455e-002	1.984e-003	
69	573.72	1.3136e-002	1.5707e-003	
70	581.6	1.1285e-002	1.2643e-003	
71	589.48	9.7854e-003	1.0319e-003	
72	597.36	8.5556e-003	8.5223e-004	
73	605.24	7.5359e-003	7.1097e-004	
74	613.12	6.6825e-003	5.9827e-004	
75	621.	5.9624e-003	5.0719e-004	
76	628.88	5.3503e-003	4.3272e-004	
77	636.76	4.8267e-003	3.7118e-004	
78	644.64	4.3764e-003	3.1982e-004	
79	652.52	3.9872e-003	2.7657e-004	
80	660.4	3.6493e-003	2.398e-004	
81	668.28	3.3551e-003	2.0829e-004	
82	676.16	3.098e-003	1.8102e-004	
83	684.04	2.8729e-003	1.5722e-004	
84	691.92	2.6756e-003	1.3623e-004	
85	699.8	2.5026e-003	1.1753e-004	
86	707.68	2.3509e-003	1.0065e-004	
87	715.56	2.2183e-003	8.5214e-005	
88	723.44	2.1027e-003	7.0858e-005	
89	731.32	2.0027e-003	5.7252e-005	
90	739.2	1.9171e-003	4.4066e-005	
91	747.08	1.8451e-003	3.0951e-005	
92	754.96	1.7861e-003	1.7514e-005	
93	762.84	1.7401e-003	3.2762e-006	
94	770.72	1.7072e-003	-1.2379e-005	
95	778.6	1.6883e-003	-3.0298e-005	
96	786.48	1.6848e-003	-5.1706e-005	
97	794.36	1.6991e-003	-7.8476e-005	
98	802.24	1.7351e-003	-1.1363e-004	
99	810.12	1.7986e-003	-1.6233e-004	
100	818.	1.899e-003	-2.3404e-004	
101	825.88	2.0512e-003	-3.4751e-004	
102	833.76	2.2779e-003	-5.438e-004	
103	841.64	2.6057e-003	-9.2339e-004	
104	849.52	2.9946e-003	-1.755e-003	
105	857.4	2.785e-003	-3.574e-003	
106	865.28	-1.242e-005	-4.8418e-003	
107	873.16	-1.8985e-003	-2.8348e-003	
108	881.04	-1.7092e-003	-1.3735e-003	
109	888.92	-1.2935e-003	-7.4232e-004	
110	896.8	-9.7648e-004	-4.4896e-004	
111	904.68	-7.5319e-004	-2.9536e-004	
112	912.56	-5.9408e-004	-2.0558e-004	
113	920.44	-4.7663e-004	-1.4906e-004	
114	928.32	-3.8792e-004	-1.1182e-004	
115	936.2	-3.196e-004	-8.6171e-005	
116	944.08	-2.6601e-004	-6.783e-005	
117	951.96	-2.233e-004	-5.4324e-005	
118	959.84	-1.888e-004	-4.4134e-005	
119	967.72	-1.6061e-004	-3.6289e-005	
120	975.6	-1.3736e-004	-3.0146e-005	
121	983.48	-1.18e-004	-2.5265e-005	
122	991.36	-1.0177e-004	-2.1337e-005	
123	999.24	-8.8077e-005	-1.8142e-005	
124	1007.1	-7.6451e-005	-1.5517e-005	
125	1015.	-6.6532e-005	-1.3342e-005	
126	1022.9	-5.803e-005	-1.1526e-005	
127	1030.8	-5.0712e-005	-9.9989e-006	
128	1038.6	-4.4391e-005	-8.7075e-006	
129	1046.5	-3.8911e-005	-7.6091e-006	
130	1054.4	-3.4148e-005	-6.67e-006	
131	1062.3	-2.9995e-005	-5.8633e-006	
132	1070.2	-2.6366e-005	-5.1676e-006	
133	1078.	-2.3187e-005	-4.5651e-006	
134	1085.9	-2.0396e-005	-4.0415e-006	
135	1093.8	-1.7943e-005	-3.585e-006	
136	1101.7	-1.5782e-005	-3.1857e-006	
137	1109.6	-1.3876e-005	-2.8354e-006	
138	1117.4	-1.2192e-005	-2.5274e-006	
139	1125.3	-1.0703e-005	-2.2559e-006	
140	1133.2	-9.3841e-006	-2.016e-006	
141	1141.1	-8.2157e-006	-1.8035e-006	
142	1149.	-7.1794e-006	-1.615e-006	
143	1156.8	-6.2597e-006	-1.4474e-006	
144	1164.7	-5.443e-006	-1.2982e-006	
145	1172.6	-4.7175e-006	-1.165e-006	
146	1180.5	-4.0727e-006	-1.0461e-006	
147	1188.4	-3.4996e-006	-9.3969e-007	
148	1196.2	-2.9901e-006	-8.4436e-007	
149	1204.1	-2.5373e-006	-7.5885e-007	
150	1212.	-2.1349e-006	-6.8205e-007	
151	1219.9	-1.7775e-006	-6.13e-007	
152	1227.8	-1.4601e-006	-5.5086e-007	
153	1235.6	-1.1785e-006	-4.9487e-007	
154	1243.5	-9.2887e-007	-4.4439e-007	
155	1251.4	-7.0781e-007	-3.9883e-007	
156	1259.3	-5.1231e-007	-3.5768e-007	
157	1267.2	-3.3967e-007	-3.205e-007	
158	1275.	-1.8751e-007	-2.8687e-007	
