	Frequency [Hz]	[A] Frequency Response (Real) [N]	[B] Frequency Response (Imaginary) [N]	
159	1282.9	-5.3684e-008	-2.5643e-007	
160	1290.8	6.372e-008	-2.2888e-007	
161	1298.7	1.6641e-007	-2.0392e-007	
162	1306.6	2.5591e-007	-1.813e-007	
163	1314.4	3.336e-007	-1.608e-007	
164	1322.3	4.0069e-007	-1.4221e-007	
165	1330.2	4.5831e-007	-1.2535e-007	
166	1338.1	5.0742e-007	-1.1005e-007	
167	1346.	5.4893e-007	-9.6173e-008	
168	1353.8	5.8363e-007	-8.3581e-008	
169	1361.7	6.1223e-007	-7.2156e-008	
170	1369.6	6.3539e-007	-6.1791e-008	
171	1377.5	6.5369e-007	-5.2389e-008	
172	1385.4	6.6765e-007	-4.3863e-008	
173	1393.2	6.7774e-007	-3.6133e-008	
174	1401.1	6.8439e-007	-2.9128e-008	
175	1409.	6.8798e-007	-2.2782e-008	
176	1416.9	6.8885e-007	-1.7038e-008	
177	1424.8	6.8732e-007	-1.1842e-008	
178	1432.6	6.8366e-007	-7.1448e-009	
179	1440.5	6.7814e-007	-2.9031e-009	
180	1448.4	6.7097e-007	9.232e-010	
181	1456.3	6.6237e-007	4.3706e-009	
182	1464.2	6.5252e-007	7.4721e-009	
183	1472.	6.4157e-007	1.0258e-008	
184	1479.9	6.297e-007	1.2756e-008	
185	1487.8	6.1703e-007	1.4991e-008	
186	1495.7	6.0367e-007	1.6986e-008	
187	1503.6	5.8975e-007	1.8761e-008	
188	1511.4	5.7536e-007	2.0337e-008	
189	1519.3	5.6059e-007	2.1731e-008	
190	1527.2	5.4551e-007	2.2958e-008	
191	1535.1	5.302e-007	2.4034e-008	
192	1543.	5.1472e-007	2.4972e-008	
193	1550.8	4.9913e-007	2.5784e-008	
194	1558.7	4.8348e-007	2.6483e-008	
195	1566.6	4.678e-007	2.708e-008	
196	1574.5	4.5215e-007	2.7585e-008	
197	1582.4	4.3656e-007	2.8008e-008	
198	1590.2	4.2105e-007	2.8361e-008	
199	1598.1	4.0565e-007	2.8654e-008	
200	1606.	3.9039e-007	2.8903e-008	
201	1613.9	3.7529e-007	2.9125e-008	
202	1621.8	3.6037e-007	2.9349e-008	
203	1629.6	3.4568e-007	2.9611e-008	
204	1637.5	3.3131e-007	2.9944e-008	
205	1645.4	3.1744e-007	3.0274e-008	
206	1653.3	3.0409e-007	3.0303e-008	
207	1661.2	2.9089e-007	2.9876e-008	
208	1669.	2.7763e-007	2.9296e-008	
209	1676.9	2.6442e-007	2.8784e-008	
210	1684.8	2.5142e-007	2.8359e-008	
211	1692.7	2.3867e-007	2.7988e-008	
212	1700.6	2.2619e-007	2.7644e-008	
213	1708.4	2.14e-007	2.7312e-008	
214	1716.3	2.0208e-007	2.6983e-008	
215	1724.2	1.9045e-007	2.6652e-008	
216	1732.1	1.7909e-007	2.6318e-008	
217	1740.	1.6801e-007	2.598e-008	
218	1747.8	1.572e-007	2.5637e-008	
219	1755.7	1.4666e-007	2.529e-008	
220	1763.6	1.3638e-007	2.4939e-008	
221	1771.5	1.2637e-007	2.4586e-008	
222	1779.4	1.1662e-007	2.4229e-008	
223	1787.2	1.0712e-007	2.3871e-008	
224	1795.1	9.7869e-008	2.3511e-008	
225	1803.	8.8868e-008	2.3151e-008	
226	1810.9	8.011e-008	2.279e-008	
227	1818.8	7.159e-008	2.243e-008	
228	1826.6	6.3306e-008	2.207e-008	
229	1834.5	5.5251e-008	2.1712e-008	
230	1842.4	4.7421e-008	2.1355e-008	
231	1850.3	3.9813e-008	2.1001e-008	
232	1858.2	3.2421e-008	2.0649e-008	
233	1866.	2.5242e-008	2.0299e-008	
234	1873.9	1.8269e-008	1.9953e-008	
235	1881.8	1.15e-008	1.9609e-008	
236	1889.7	4.9297e-009	1.9269e-008	
237	1897.6	-1.4468e-009	1.8933e-008	
238	1905.4	-7.6338e-009	1.86e-008	
239	1913.3	-1.3636e-008	1.8272e-008	
240	1921.2	-1.9456e-008	1.7947e-008	
241	1929.1	-2.5101e-008	1.7627e-008	
242	1937.	-3.0573e-008	1.7311e-008	
243	1944.8	-3.5877e-008	1.6999e-008	
244	1952.7	-4.1017e-008	1.6692e-008	
245	1960.6	-4.5997e-008	1.6389e-008	
246	1968.5	-5.0821e-008	1.609e-008	
247	1976.4	-5.5493e-008	1.5797e-008	
248	1984.2	-6.0017e-008	1.5507e-008	
249	1992.1	-6.4397e-008	1.5223e-008	
250	2000.	-6.8636e-008	1.4943e-008	
