	Frequency [Hz]	[A] Frequency Response (Real) [N]	[B] Frequency Response (Imaginary) [N]	
1	37.88	1.4203	-6.396e-004	
2	45.76	0.98139	-6.4716e-004	
3	53.64	0.72132	-6.5631e-004	
4	61.52	0.55472	-6.6713e-004	
5	69.4	0.44167	-6.7972e-004	
6	77.28	0.36151	-6.9421e-004	
7	85.16	0.30266	-7.1075e-004	
8	93.04	0.25823	-7.295e-004	
9	100.92	0.22392	-7.5068e-004	
10	108.8	0.19692	-7.7452e-004	
11	116.68	0.17533	-8.0125e-004	
12	124.56	0.15785	-8.313e-004	
13	132.44	0.14354	-8.6513e-004	
14	140.32	0.13173	-9.03e-004	
15	148.2	0.12192	-9.4555e-004	
16	156.08	0.11373	-9.9343e-004	
17	163.96	0.10689	-1.0474e-003	
18	171.84	0.10117	-1.1084e-003	
19	179.72	9.6412e-002	-1.1777e-003	
20	187.6	9.2482e-002	-1.2565e-003	
21	195.48	8.9284e-002	-1.3465e-003	
22	203.36	8.6743e-002	-1.45e-003	
23	211.24	8.4806e-002	-1.5695e-003	
24	219.12	8.3438e-002	-1.7085e-003	
25	227.	8.2619e-002	-1.8712e-003	
26	234.88	8.2346e-002	-2.0631e-003	
27	242.76	8.2632e-002	-2.2917e-003	
28	250.64	8.3511e-002	-2.5667e-003	
29	258.52	8.5036e-002	-2.9016e-003	
30	266.4	8.729e-002	-3.3148e-003	
31	274.28	9.0395e-002	-3.8328e-003	
32	282.16	9.4524e-002	-4.4943e-003	
33	290.04	9.9927e-002	-5.3577e-003	
34	297.92	0.10697	-6.5146e-003	
35	305.8	0.11621	-8.1157e-003	
36	313.68	0.12851	-1.0422e-002	
37	321.56	0.14529	-1.3922e-002	
38	329.44	0.16904	-1.9612e-002	
39	337.32	0.20454	-2.9795e-002	
40	345.2	0.262	-5.0814e-002	
41	353.08	0.36671	-0.10555	
42	360.96	0.58074	-0.32253	
43	368.84	0.15055	-1.3512	
44	376.72	-0.61652	-0.38057	
45	384.6	-0.378	-0.1104	
46	392.48	-0.26128	-4.8638e-002	
47	400.36	-0.19875	-2.6436e-002	
48	408.24	-0.16079	-1.6123e-002	
49	416.12	-0.13572	-1.0511e-002	
50	424.	-0.11822	-7.1013e-003	
51	431.88	-0.10555	-4.8462e-003	
52	439.76	-9.6197e-002	-3.2416e-003	
53	447.64	-8.9247e-002	-2.0178e-003	
54	455.52	-8.4144e-002	-1.0159e-003	
55	463.4	-8.0543e-002	-1.3113e-004	
56	471.28	-7.8244e-002	7.1609e-004	
57	479.16	-7.7159e-002	1.5978e-003	
58	487.04	-7.7305e-002	2.595e-003	
59	494.92	-7.8797e-002	3.8308e-003	
60	502.8	-8.1906e-002	5.4708e-003	
61	510.68	-8.7142e-002	7.8317e-003	
62	518.56	-9.5427e-002	1.1542e-002	
63	526.44	-0.10849	1.8022e-002	
64	534.32	-0.1297	3.105e-002	
65	542.2	-0.16538	6.3165e-002	
66	550.08	-0.21163	0.1673	
67	557.96	-2.51e-002	0.38368	
68	565.84	0.17216	0.16936	
69	573.72	0.12382	6.1689e-002	
70	581.6	8.612e-002	2.9433e-002	
71	589.48	6.3409e-002	1.674e-002	
