	Frequency [Hz]	[A] Frequency Response (Real) [N]	[B] Frequency Response (Imaginary) [N]	
72	597.36	4.8931e-002	1.0625e-002	
73	605.24	3.9097e-002	7.2577e-003	
74	613.12	3.2073e-002	5.222e-003	
75	621.	2.6856e-002	3.9053e-003	
76	628.88	2.286e-002	3.0088e-003	
77	636.76	1.9724e-002	2.3733e-003	
78	644.64	1.7213e-002	1.908e-003	
79	652.52	1.5169e-002	1.5582e-003	
80	660.4	1.3482e-002	1.2893e-003	
81	668.28	1.2073e-002	1.0787e-003	
82	676.16	1.0883e-002	9.1089e-004	
83	684.04	9.871e-003	7.7536e-004	
84	691.92	9.0025e-003	6.6447e-004	
85	699.8	8.2524e-003	5.727e-004	
86	707.68	7.6007e-003	4.9595e-004	
87	715.56	7.0315e-003	4.3115e-004	
88	723.44	6.5322e-003	3.7594e-004	
89	731.32	6.0925e-003	3.285e-004	
90	739.2	5.7038e-003	2.8739e-004	
91	747.08	5.3594e-003	2.5148e-004	
92	754.96	5.0535e-003	2.1986e-004	
93	762.84	4.7814e-003	1.9177e-004	
94	770.72	4.5391e-003	1.666e-004	
95	778.6	4.3232e-003	1.4384e-004	
96	786.48	4.131e-003	1.2306e-004	
97	794.36	3.9601e-003	1.0389e-004	
98	802.24	3.8087e-003	8.5979e-005	
99	810.12	3.675e-003	6.9043e-005	
100	818.	3.5577e-003	5.2798e-005	
101	825.88	3.4559e-003	3.6978e-005	
102	833.76	3.3686e-003	2.1312e-005	
103	841.64	3.2954e-003	5.5193e-006	
104	849.52	3.2358e-003	-1.0707e-005	
105	857.4	3.1898e-003	-2.7714e-005	
106	865.28	3.1576e-003	-4.5915e-005	
107	873.16	3.1396e-003	-6.5815e-005	
108	881.04	3.1366e-003	-8.8054e-005	
109	888.92	3.1499e-003	-1.1347e-004	
110	896.8	3.1813e-003	-1.4318e-004	
111	904.68	3.2334e-003	-1.7876e-004	
112	912.56	3.3097e-003	-2.2241e-004	
113	920.44	3.4151e-003	-2.7743e-004	
114	928.32	3.5567e-003	-3.488e-004	
115	936.2	3.7442e-003	-4.4444e-004	
116	944.08	3.992e-003	-5.7754e-004	
117	951.96	4.3212e-003	-7.7122e-004	
118	959.84	4.7626e-003	-1.0688e-003	
119	967.72	5.3597e-003	-1.5582e-003	
120	975.6	6.1577e-003	-2.4327e-003	
121	983.48	7.1022e-003	-4.1477e-003	
122	991.36	7.4051e-003	-7.6445e-003	
123	999.24	3.6027e-003	-1.2469e-002	
124	1007.1	-3.7314e-003	-1.1102e-002	
125	1015.	-5.6446e-003	-6.1765e-003	
126	1022.9	-4.8721e-003	-3.3586e-003	
127	1030.8	-3.9021e-003	-1.9996e-003	
128	1038.6	-3.1359e-003	-1.2955e-003	
129	1046.5	-2.5633e-003	-8.9566e-004	
130	1054.4	-2.1323e-003	-6.5042e-004	
131	1062.3	-1.8014e-003	-4.9049e-004	
132	1070.2	-1.5419e-003	-3.81e-004	
133	1078.	-1.3345e-003	-3.0307e-004	
134	1085.9	-1.166e-003	-2.458e-004	
135	1093.8	-1.027e-003	-2.026e-004	
136	1101.7	-9.11e-004	-1.6928e-004	
137	1109.6	-8.1303e-004	-1.4309e-004	
138	1117.4	-7.2953e-004	-1.2218e-004	
139	1125.3	-6.5776e-004	-1.0524e-004	
140	1133.2	-5.956e-004	-9.1351e-005	
141	1141.1	-5.4141e-004	-7.9841e-005	
142	1149.	-4.9388e-004	-7.0209e-005	
143	1156.8	-4.5197e-004	-6.208e-005	
144	1164.7	-4.1483e-004	-5.5166e-005	
145	1172.6	-3.8178e-004	-4.9244e-005	
146	1180.5	-3.5224e-004	-4.414e-005	
147	1188.4	-3.2574e-004	-3.9715e-005	
148	1196.2	-3.0189e-004	-3.5858e-005	
149	1204.1	-2.8035e-004	-3.248e-005	
150	1212.	-2.6084e-004	-2.9509e-005	
151	1219.9	-2.4312e-004	-2.6884e-005	
152	1227.8	-2.2699e-004	-2.4556e-005	
153	1235.6	-2.1226e-004	-2.2485e-005	
154	1243.5	-1.9879e-004	-2.0635e-005	
155	1251.4	-1.8644e-004	-1.8978e-005	
156	1259.3	-1.751e-004	-1.7489e-005	
157	1267.2	-1.6466e-004	-1.6148e-005	
158	1275.	-1.5503e-004	-1.4937e-005	
159	1282.9	-1.4614e-004	-1.384e-005	
160	1290.8	-1.3791e-004	-1.2844e-005	
161	1298.7	-1.3029e-004	-1.1939e-005	
162	1306.6	-1.2321e-004	-1.1114e-005	
163	1314.4	-1.1664e-004	-1.036e-005	
164	1322.3	-1.1052e-004	-9.6703e-006	
165	1330.2	-1.0483e-004	-9.0382e-006	
166	1338.1	-9.9511e-005	-8.4578e-006	
167	1346.	-9.4546e-005	-7.924e-006	
168	1353.8	-8.9904e-005	-7.4323e-006	
169	1361.7	-8.5558e-005	-6.9787e-006	
170	1369.6	-8.1486e-005	-6.5596e-006	
171	1377.5	-7.7666e-005	-6.172e-006	
172	1385.4	-7.408e-005	-5.8128e-006	
173	1393.2	-7.0709e-005	-5.4797e-006	
174	1401.1	-6.7538e-005	-5.1704e-006	
175	1409.	-6.4552e-005	-4.8828e-006	
176	1416.9	-6.1738e-005	-4.6151e-006	
177	1424.8	-5.9085e-005	-4.3656e-006	
178	1432.6	-5.658e-005	-4.1329e-006	
179	1440.5	-5.4213e-005	-3.9156e-006	
180	1448.4	-5.1976e-005	-3.7125e-006	
181	1456.3	-4.986e-005	-3.5224e-006	
182	1464.2	-4.7856e-005	-3.3444e-006	
183	1472.	-4.5957e-005	-3.1776e-006	
184	1479.9	-4.4157e-005	-3.0211e-006	
185	1487.8	-4.245e-005	-2.8742e-006	
186	1495.7	-4.0828e-005	-2.7361e-006	
187	1503.6	-3.9288e-005	-2.6063e-006	
188	1511.4	-3.7825e-005	-2.484e-006	
189	1519.3	-3.6433e-005	-2.3689e-006	
190	1527.2	-3.5108e-005	-2.2604e-006	
191	1535.1	-3.3846e-005	-2.158e-006	
192	1543.	-3.2644e-005	-2.0614e-006	
193	1550.8	-3.1499e-005	-1.9702e-006	
194	1558.7	-3.0406e-005	-1.8839e-006	
195	1566.6	-2.9363e-005	-1.8023e-006	
196	1574.5	-2.8368e-005	-1.7251e-006	
197	1582.4	-2.7417e-005	-1.652e-006	
198	1590.2	-2.6508e-005	-1.5827e-006	
199	1598.1	-2.5639e-005	-1.517e-006	
200	1606.	-2.4808e-005	-1.4547e-006	
201	1613.9	-2.4012e-005	-1.3956e-006	
202	1621.8	-2.325e-005	-1.3394e-006	
203	1629.6	-2.2521e-005	-1.2861e-006	
204	1637.5	-2.1822e-005	-1.2353e-006	
205	1645.4	-2.1151e-005	-1.1871e-006	
206	1653.3	-2.0509e-005	-1.1412e-006	
207	1661.2	-1.9892e-005	-1.0974e-006	
208	1669.	-1.93e-005	-1.0558e-006	
209	1676.9	-1.8731e-005	-1.0161e-006	
210	1684.8	-1.8185e-005	-9.7824e-007	
211	1692.7	-1.766e-005	-9.4214e-007	
212	1700.6	-1.7155e-005	-9.0769e-007	
213	1708.4	-1.667e-005	-8.7481e-007	
214	1716.3	-1.6203e-005	-8.4339e-007	
215	1724.2	-1.5754e-005	-8.1338e-007	
216	1732.1	-1.5321e-005	-7.8468e-007	
217	1740.	-1.4905e-005	-7.5725e-007	
218	1747.8	-1.4504e-005	-7.31e-007	
219	1755.7	-1.4117e-005	-7.0587e-007	
220	1763.6	-1.3744e-005	-6.8182e-007	
221	1771.5	-1.3384e-005	-6.5879e-007	
222	1779.4	-1.3038e-005	-6.3671e-007	
223	1787.2	-1.2703e-005	-6.1556e-007	
224	1795.1	-1.238e-005	-5.9528e-007	
225	1803.	-1.2068e-005	-5.7582e-007	
226	1810.9	-1.1767e-005	-5.5715e-007	
227	1818.8	-1.1476e-005	-5.3924e-007	
228	1826.6	-1.1195e-005	-5.2204e-007	
229	1834.5	-1.0923e-005	-5.0551e-007	
230	1842.4	-1.066e-005	-4.8964e-007	
231	1850.3	-1.0406e-005	-4.7439e-007	
232	1858.2	-1.016e-005	-4.5972e-007	
233	1866.	-9.922e-006	-4.4561e-007	
234	1873.9	-9.6917e-006	-4.3205e-007	
235	1881.8	-9.4687e-006	-4.1899e-007	
236	1889.7	-9.2527e-006	-4.0642e-007	
237	1897.6	-9.0435e-006	-3.9432e-007	
238	1905.4	-8.8408e-006	-3.8266e-007	
239	1913.3	-8.6444e-006	-3.7143e-007	
240	1921.2	-8.4539e-006	-3.606e-007	
241	1929.1	-8.2693e-006	-3.5016e-007	
242	1937.	-8.0902e-006	-3.4009e-007	
243	1944.8	-7.9165e-006	-3.3037e-007	
244	1952.7	-7.748e-006	-3.2098e-007	
245	1960.6	-7.5844e-006	-3.119e-007	
246	1968.5	-7.4256e-006	-3.0312e-007	
247	1976.4	-7.2715e-006	-2.9461e-007	
248	1984.2	-7.1218e-006	-2.8634e-007	
249	1992.1	-6.9764e-006	-2.7828e-007	
250	2000.	-6.8351e-006	-2.7038e-007	
