	Frequency [Hz]	[A] Frequency Response (Real) [N]	[B] Frequency Response (Imaginary) [N]	
1	37.88	1.2504	-5.8526e-004	
2	45.76	0.86423	-5.9275e-004	
3	53.64	0.63547	-6.0183e-004	
4	61.52	0.48892	-6.1258e-004	
5	69.4	0.3895	-6.2512e-004	
6	77.28	0.31901	-6.3958e-004	
7	85.16	0.26728	-6.5612e-004	
8	93.04	0.22824	-6.7494e-004	
9	100.92	0.1981	-6.9623e-004	
10	108.8	0.1744	-7.2023e-004	
11	116.68	0.15547	-7.4755e-004	
12	124.56	0.14016	-7.782e-004	
13	132.44	0.12765	-8.1274e-004	
14	140.32	0.11735	-8.5171e-004	
15	148.2	0.10881	-8.9574e-004	
16	156.08	0.10173	-9.456e-004	
17	163.96	9.5835e-002	-1.0022e-003	
18	171.84	9.0951e-002	-1.0666e-003	
19	179.72	8.6932e-002	-1.1403e-003	
20	187.6	8.3667e-002	-1.2249e-003	
21	195.48	8.1077e-002	-1.3225e-003	
22	203.36	7.91e-002	-1.4358e-003	
23	211.24	7.7699e-002	-1.5682e-003	
24	219.12	7.6851e-002	-1.7241e-003	
25	227.	7.6552e-002	-1.909e-003	
26	234.88	7.6815e-002	-2.1306e-003	
27	242.76	7.7674e-002	-2.399e-003	
28	250.64	7.9185e-002	-2.7282e-003	
29	258.52	8.1438e-002	-3.1376e-003	
30	266.4	8.4561e-002	-3.6554e-003	
31	274.28	8.8741e-002	-4.3231e-003	
32	282.16	9.4251e-002	-5.2044e-003	
33	290.04	0.1015	-6.4005e-003	
34	297.92	0.11109	-8.0807e-003	
35	305.8	0.12402	-1.0546e-002	
36	313.68	0.14194	-1.4372e-002	
37	321.56	0.16782	-2.0782e-002	
38	329.44	0.20756	-3.2744e-002	
39	337.32	0.27447	-5.9087e-002	
40	345.2	0.40341	-0.13586	
41	353.08	0.65458	-0.51103	
42	360.96	-0.52468	-1.1421	
43	368.84	-0.52749	-0.2299	
44	376.72	-0.33671	-7.7282e-002	
45	384.6	-0.24525	-3.6195e-002	
46	392.48	-0.19503	-1.9792e-002	
47	400.36	-0.16452	-1.1535e-002	
48	408.24	-0.145	-6.6278e-003	
49	416.12	-0.13243	-3.2475e-003	
50	424.	-0.12484	-5.3051e-004	
51	431.88	-0.12135	2.0615e-003	
52	439.76	-0.12179	5.0267e-003	
53	447.64	-0.12674	9.0814e-003	
54	455.52	-0.13789	1.5678e-002	
55	463.4	-0.1591	2.8641e-002	
56	471.28	-0.19882	6.0701e-002	
57	479.16	-0.26377	0.1734	
58	487.04	-4.2672e-002	0.47032	
59	494.92	0.19802	0.17705	
60	502.8	0.12917	5.9488e-002	
61	510.68	8.5576e-002	2.7517e-002	
62	518.56	6.0826e-002	1.535e-002	
63	526.44	4.5551e-002	9.5904e-003	
64	534.32	3.5421e-002	6.4569e-003	
65	542.2	2.8332e-002	4.5824e-003	
66	550.08	2.3164e-002	3.3816e-003	
67	557.96	1.9275e-002	2.5717e-003	
68	565.84	1.6275e-002	2.003e-003	
69	573.72	1.3911e-002	1.5905e-003	
70	581.6	1.2018e-002	1.2833e-003	
71	589.48	1.048e-002	1.0494e-003	
72	597.36	9.2141e-003	8.6773e-004	
73	605.24	8.1624e-003	7.2441e-004	
74	613.12	7.2803e-003	6.0965e-004	
75	621.	6.5346e-003	5.1654e-004	
76	628.88	5.8999e-003	4.4011e-004	
77	636.76	5.3564e-003	3.7666e-004	
78	644.64	4.8888e-003	3.2344e-004	
79	652.52	4.4846e-003	2.7833e-004	
80	660.4	4.1342e-003	2.3972e-004	
81	668.28	3.8294e-003	2.0631e-004	
82	676.16	3.564e-003	1.7708e-004	
83	684.04	3.3328e-003	1.512e-004	
84	691.92	3.1314e-003	1.2797e-004	
85	699.8	2.9565e-003	1.068e-004	
86	707.68	2.8053e-003	8.7151e-005	
87	715.56	2.6756e-003	6.8533e-005	
88	723.44	2.5659e-003	5.0457e-005	
89	731.32	2.4749e-003	3.2409e-005	
90	739.2	2.402e-003	1.3807e-005	
91	747.08	2.3472e-003	-6.059e-006	
92	754.96	2.3109e-003	-2.8111e-005	
93	762.84	2.2944e-003	-5.3624e-005	
94	770.72	2.3002e-003	-8.4466e-005	
95	778.6	2.3319e-003	-1.2352e-004	
96	786.48	2.3956e-003	-1.755e-004	
97	794.36	2.5007e-003	-2.4858e-004	
98	802.24	2.6622e-003	-3.5801e-004	
99	810.12	2.9039e-003	-5.3472e-004	
100	818.	3.2622e-003	-8.4834e-004	
101	825.88	3.7752e-003	-1.4753e-003	
102	833.76	4.3242e-003	-2.8963e-003	
103	841.64	3.4795e-003	-5.8515e-003	
104	849.52	-1.1357e-003	-6.559e-003	
105	857.4	-2.8534e-003	-3.409e-003	
106	865.28	-2.3564e-003	-1.6633e-003	
107	873.16	-1.7723e-003	-9.1968e-004	
108	881.04	-1.3476e-003	-5.6628e-004	
109	888.92	-1.0487e-003	-3.768e-004	
110	896.8	-8.3404e-004	-2.6519e-004	
111	904.68	-6.7538e-004	-1.946e-004	
112	912.56	-5.5507e-004	-1.4745e-004	
113	920.44	-4.6181e-004	-1.1459e-004	
114	928.32	-3.8815e-004	-9.0905e-005	
115	936.2	-3.2908e-004	-7.3392e-005	
116	944.08	-2.8115e-004	-6.0156e-005	
117	951.96	-2.4185e-004	-4.9776e-005	
118	959.84	-2.0911e-004	-4.1517e-005	
119	967.72	-1.8163e-004	-3.4957e-005	
120	975.6	-1.5844e-004	-2.9679e-005	
121	983.48	-1.3873e-004	-2.5375e-005	
122	991.36	-1.219e-004	-2.183e-005	
123	999.24	-1.0744e-004	-1.8884e-005	
124	1007.1	-9.4963e-005	-1.6415e-005	
125	1015.	-8.4144e-005	-1.4332e-005	
126	1022.9	-7.4728e-005	-1.2563e-005	
127	1030.8	-6.6504e-005	-1.1054e-005	
128	1038.6	-5.9296e-005	-9.7579e-006	
129	1046.5	-5.2961e-005	-8.6406e-006	
130	1054.4	-4.7377e-005	-7.673e-006	
131	1062.3	-4.2442e-005	-6.8317e-006	
132	1070.2	-3.8071e-005	-6.0975e-006	
133	1078.	-3.4189e-005	-5.4545e-006	
134	1085.9	-3.0737e-005	-4.8897e-006	
135	1093.8	-2.7659e-005	-4.392e-006	
136	1101.7	-2.491e-005	-3.9522e-006	
137	1109.6	-2.2452e-005	-3.5626e-006	
138	1117.4	-2.025e-005	-3.2166e-006	
139	1125.3	-1.8274e-005	-2.9087e-006	
140	1133.2	-1.6499e-005	-2.6339e-006	
141	1141.1	-1.4902e-005	-2.3884e-006	
142	1149.	-1.3463e-005	-2.1684e-006	
143	1156.8	-1.2166e-005	-1.9711e-006	
144	1164.7	-1.0995e-005	-1.7938e-006	
145	1172.6	-9.9374e-006	-1.6341e-006	
146	1180.5	-8.9807e-006	-1.4901e-006	
147	1188.4	-8.1146e-006	-1.3601e-006	
148	1196.2	-7.33e-006	-1.2425e-006	
149	1204.1	-6.6188e-006	-1.136e-006	
150	1212.	-5.9735e-006	-1.0394e-006	
151	1219.9	-5.3876e-006	-9.5179e-007	
152	1227.8	-4.8555e-006	-8.7212e-007	
153	1235.6	-4.3719e-006	-7.9963e-007	
154	1243.5	-3.9322e-006	-7.336e-007	
155	1251.4	-3.5322e-006	-6.7338e-007	
156	1259.3	-3.1682e-006	-6.1843e-007	
157	1267.2	-2.8368e-006	-5.6822e-007	
158	1275.	-2.535e-006	-5.223e-007	
159	1282.9	-2.2602e-006	-4.8028e-007	
