	Frequency [Hz]	[A] Frequency Response (Real) [N]	[B] Frequency Response (Imaginary) [N]	
1	37.88	1.1937	-5.7751e-004	
2	45.76	0.82531	-5.8491e-004	
3	53.64	0.60705	-5.9386e-004	
4	61.52	0.46725	-6.0446e-004	
5	69.4	0.37239	-6.1682e-004	
6	77.28	0.30515	-6.3107e-004	
7	85.16	0.2558	-6.4737e-004	
8	93.04	0.21857	-6.6591e-004	
9	100.92	0.18983	-6.869e-004	
10	108.8	0.16723	-7.1069e-004	
11	116.68	0.14918	-7.3737e-004	
12	124.56	0.13459	-7.6742e-004	
13	132.44	0.12267	-8.0132e-004	
14	140.32	0.11286	-8.3954e-004	
15	148.2	0.10474	-8.8269e-004	
16	156.08	9.8e-002	-9.3149e-004	
17	163.96	9.2403e-002	-9.8683e-004	
18	171.84	8.7769e-002	-1.0498e-003	
19	179.72	8.3962e-002	-1.1216e-003	
20	187.6	8.0877e-002	-1.204e-003	
21	195.48	7.8436e-002	-1.2989e-003	
22	203.36	7.6584e-002	-1.4088e-003	
23	211.24	7.5282e-002	-1.537e-003	
24	219.12	7.451e-002	-1.6875e-003	
25	227.	7.4262e-002	-1.8657e-003	
26	234.88	7.4551e-002	-2.0784e-003	
27	242.76	7.5407e-002	-2.3353e-003	
28	250.64	7.6884e-002	-2.649e-003	
29	258.52	7.9062e-002	-3.0374e-003	
30	266.4	8.2059e-002	-3.526e-003	
31	274.28	8.6047e-002	-4.1522e-003	
32	282.16	9.127e-002	-4.9725e-003	
33	290.04	9.8093e-002	-6.0758e-003	
34	297.92	0.10706	-7.6086e-003	
35	305.8	0.11903	-9.826e-003	
36	313.68	0.13543	-1.3206e-002	
37	321.56	0.15873	-1.8727e-002	
38	329.44	0.19375	-2.8668e-002	
39	337.32	0.25083	-4.9359e-002	
40	345.2	0.35599	-0.10397	
41	353.08	0.57427	-0.3267	
42	360.96	6.6141e-002	-1.363	
43	368.84	-0.61006	-0.34918	
44	376.72	-0.37686	-0.10186	
45	384.6	-0.26521	-4.4616e-002	
46	392.48	-0.20594	-2.3782e-002	
47	400.36	-0.17051	-1.393e-002	
48	408.24	-0.14776	-8.4027e-003	
49	416.12	-0.13267	-4.8534e-003	
50	424.	-0.12271	-2.2661e-003	
51	431.88	-0.1166	-1.0855e-004	
52	439.76	-0.11371	1.9748e-003	
53	447.64	-0.11394	4.3181e-003	
54	455.52	-0.11763	7.3761e-003	
55	463.4	-0.12583	1.1981e-002	
56	471.28	-0.14082	2.0037e-002	
57	479.16	-0.16744	3.6668e-002	
58	487.04	-0.21602	8.1148e-002	
59	494.92	-0.27326	0.24724	
60	502.8	9.6094e-002	0.44742	
61	510.68	0.19284	0.14095	
62	518.56	0.12582	5.2407e-002	
63	526.44	8.6126e-002	2.5758e-002	
64	534.32	6.2904e-002	1.4908e-002	
65	542.2	4.818e-002	9.5507e-003	
66	550.08	3.8206e-002	6.5504e-003	
67	557.96	3.1103e-002	4.7168e-003	
68	565.84	2.5848e-002	3.5224e-003	
69	573.72	2.1844e-002	2.7056e-003	
70	581.6	1.8719e-002	2.1251e-003	
71	589.48	1.6232e-002	1.6997e-003	
72	597.36	1.4221e-002	1.3797e-003	
73	605.24	1.2573e-002	1.1338e-003	
74	613.12	1.1206e-002	9.412e-004	
75	621.	1.0062e-002	7.879e-004	
76	628.88	9.0968e-003	6.6405e-004	
77	636.76	8.2757e-003	5.6264e-004	
78	644.64	7.5733e-003	4.7856e-004	
79	652.52	6.9694e-003	4.08e-004	
80	660.4	6.4482e-003	3.4809e-004	
81	668.28	5.9969e-003	2.9661e-004	
82	676.16	5.6055e-003	2.5182e-004	
83	684.04	5.2657e-003	2.1232e-004	
84	691.92	4.971e-003	1.7698e-004	
85	699.8	4.7161e-003	1.4484e-004	
86	707.68	4.4968e-003	1.1506e-004	
87	715.56	4.3098e-003	8.6884e-005	
88	723.44	4.1527e-003	5.9575e-005	
89	731.32	4.0236e-003	3.2386e-005	
90	739.2	3.9215e-003	4.4981e-006	
91	747.08	3.8462e-003	-2.505e-005	
92	754.96	3.7983e-003	-5.746e-005	
93	762.84	3.7793e-003	-9.4326e-005	
94	770.72	3.7922e-003	-1.3788e-004	
95	778.6	3.8415e-003	-1.9139e-004	
96	786.48	3.9345e-003	-2.5991e-004	
97	794.36	4.0821e-003	-3.5164e-004	
98	802.24	4.3011e-003	-4.8066e-004	
99	810.12	4.618e-003	-6.7288e-004	
100	818.	5.0742e-003	-9.799e-004	
101	825.88	5.7337e-003	-1.5152e-003	
102	833.76	6.6716e-003	-2.5584e-003	
103	841.64	7.7758e-003	-4.864e-003	
104	849.52	7.16e-003	-9.9289e-003	
105	857.4	-6.7348e-004	-1.3216e-002	
106	865.28	-5.5859e-003	-7.5771e-003	
107	873.16	-4.9581e-003	-3.6657e-003	
108	881.04	-3.7975e-003	-1.9896e-003	
109	888.92	-2.9199e-003	-1.2092e-003	
110	896.8	-2.2979e-003	-7.9847e-004	
111	904.68	-1.8498e-003	-5.5981e-004	
112	912.56	-1.5178e-003	-4.1035e-004	
113	920.44	-1.2652e-003	-3.1121e-004	
114	928.32	-1.0684e-003	-2.4243e-004	
115	936.2	-9.122e-004	-1.9296e-004	
116	944.08	-7.8604e-004	-1.5632e-004	
117	951.96	-6.8272e-004	-1.2853e-004	
118	959.84	-5.9708e-004	-1.0701e-004	
119	967.72	-5.2534e-004	-9.0052e-005	
120	975.6	-4.647e-004	-7.6492e-005	
121	983.48	-4.1301e-004	-6.5508e-005	
122	991.36	-3.6866e-004	-5.6508e-005	
123	999.24	-3.3034e-004	-4.9059e-005	
124	1007.1	-2.9705e-004	-4.2839e-005	
125	1015.	-2.6798e-004	-3.7603e-005	
126	1022.9	-2.4248e-004	-3.3163e-005	
127	1030.8	-2.2001e-004	-2.9375e-005	
128	1038.6	-2.0013e-004	-2.6122e-005	
129	1046.5	-1.8248e-004	-2.3315e-005	
130	1054.4	-1.6676e-004	-2.088e-005	
131	1062.3	-1.5271e-004	-1.8759e-005	
132	1070.2	-1.4011e-004	-1.6904e-005	
133	1078.	-1.288e-004	-1.5278e-005	
134	1085.9	-1.1861e-004	-1.3847e-005	
135	1093.8	-1.0941e-004	-1.2574e-005	
136	1101.7	-1.0109e-004	-1.1434e-005	
137	1109.6	-9.3528e-005	-1.0421e-005	
138	1117.4	-8.6656e-005	-9.5184e-006	
139	1125.3	-8.0399e-005	-8.7117e-006	
140	1133.2	-7.4691e-005	-7.9882e-006	
141	1141.1	-6.9475e-005	-7.3375e-006	
142	1149.	-6.4701e-005	-6.751e-006	
143	1156.8	-6.0324e-005	-6.2211e-006	
144	1164.7	-5.6305e-005	-5.7413e-006	
145	1172.6	-5.261e-005	-5.306e-006	
146	1180.5	-4.9208e-005	-4.9105e-006	
147	1188.4	-4.6071e-005	-4.5504e-006	
148	1196.2	-4.3176e-005	-4.222e-006	
149	1204.1	-4.05e-005	-3.922e-006	
150	1212.	-3.8024e-005	-3.6475e-006	
151	1219.9	-3.573e-005	-3.396e-006	
152	1227.8	-3.3602e-005	-3.1653e-006	
153	1235.6	-3.1627e-005	-2.9533e-006	
154	1243.5	-2.9792e-005	-2.7583e-006	
155	1251.4	-2.8084e-005	-2.5786e-006	
156	1259.3	-2.6494e-005	-2.4129e-006	
157	1267.2	-2.5012e-005	-2.2599e-006	
158	1275.	-2.363e-005	-2.1185e-006	
159	1282.9	-2.234e-005	-1.9876e-006	
160	1290.8	-2.1133e-005	-1.8664e-006	
161	1298.7	-2.0006e-005	-1.7539e-006	
162	1306.6	-1.895e-005	-1.6495e-006	
163	1314.4	-1.7961e-005	-1.5525e-006	
164	1322.3	-1.7034e-005	-1.4623e-006	
165	1330.2	-1.6164e-005	-1.3783e-006	
166	1338.1	-1.5348e-005	-1.3e-006	
167	1346.	-1.4581e-005	-1.2271e-006	
168	1353.8	-1.386e-005	-1.1589e-006	
169	1361.7	-1.3182e-005	-1.0953e-006	
170	1369.6	-1.2543e-005	-1.0358e-006	
171	1377.5	-1.1942e-005	-9.8019e-007	
172	1385.4	-1.1375e-005	-9.2809e-007	
173	1393.2	-1.084e-005	-8.7927e-007	
174	1401.1	-1.0336e-005	-8.335e-007	
175	1409.	-9.8594e-006	-7.9055e-007	
176	1416.9	-9.4093e-006	-7.5023e-007	
177	1424.8	-8.9839e-006	-7.1235e-007	
178	1432.6	-8.5816e-006	-6.7673e-007	
179	1440.5	-8.2009e-006	-6.4322e-007	
180	1448.4	-7.8404e-006	-6.1168e-007	
181	1456.3	-7.4989e-006	-5.8198e-007	
182	1464.2	-7.1753e-006	-5.5398e-007	
183	1472.	-6.8684e-006	-5.2758e-007	
184	1479.9	-6.5773e-006	-5.0267e-007	
185	1487.8	-6.301e-006	-4.7915e-007	
186	1495.7	-6.0386e-006	-4.5694e-007	
187	1503.6	-5.7893e-006	-4.3594e-007	
188	1511.4	-5.5524e-006	-4.1609e-007	
189	1519.3	-5.3271e-006	-3.9732e-007	
190	1527.2	-5.1128e-006	-3.7954e-007	
191	1535.1	-4.9088e-006	-3.6271e-007	
192	1543.	-4.7146e-006	-3.4676e-007	
193	1550.8	-4.5297e-006	-3.3164e-007	
194	1558.7	-4.3535e-006	-3.1731e-007	
195	1566.6	-4.1855e-006	-3.037e-007	
196	1574.5	-4.0253e-006	-2.9079e-007	
197	1582.4	-3.8725e-006	-2.7853e-007	
198	1590.2	-3.7266e-006	-2.6689e-007	
199	1598.1	-3.5874e-006	-2.5582e-007	
200	1606.	-3.4544e-006	-2.4529e-007	
201	1613.9	-3.3274e-006	-2.3528e-007	
