	Frequency [Hz]	[A] Frequency Response (Real) [N]	[B] Frequency Response (Imaginary) [N]	
202	1621.8	-3.2059e-006	-2.2575e-007	
203	1629.6	-3.0898e-006	-2.1668e-007	
204	1637.5	-2.9788e-006	-2.0804e-007	
205	1645.4	-2.8726e-006	-1.9981e-007	
206	1653.3	-2.7709e-006	-1.9197e-007	
207	1661.2	-2.6736e-006	-1.8449e-007	
208	1669.	-2.5804e-006	-1.7736e-007	
209	1676.9	-2.4911e-006	-1.7055e-007	
210	1684.8	-2.4056e-006	-1.6406e-007	
211	1692.7	-2.3236e-006	-1.5786e-007	
212	1700.6	-2.2449e-006	-1.5193e-007	
213	1708.4	-2.1695e-006	-1.4627e-007	
214	1716.3	-2.0971e-006	-1.4086e-007	
215	1724.2	-2.0277e-006	-1.3569e-007	
216	1732.1	-1.961e-006	-1.3074e-007	
217	1740.	-1.8969e-006	-1.2601e-007	
218	1747.8	-1.8354e-006	-1.2148e-007	
219	1755.7	-1.7764e-006	-1.1714e-007	
220	1763.6	-1.7196e-006	-1.1299e-007	
221	1771.5	-1.665e-006	-1.0901e-007	
222	1779.4	-1.6125e-006	-1.0519e-007	
223	1787.2	-1.562e-006	-1.0153e-007	
224	1795.1	-1.5134e-006	-9.8014e-008	
225	1803.	-1.4666e-006	-9.4637e-008	
226	1810.9	-1.4216e-006	-9.1388e-008	
227	1818.8	-1.3783e-006	-8.8254e-008	
228	1826.6	-1.3366e-006	-8.5227e-008	
229	1834.5	-1.2963e-006	-8.2306e-008	
230	1842.4	-1.2575e-006	-7.9524e-008	
231	1850.3	-1.22e-006	-7.692e-008	
232	1858.2	-1.184e-006	-7.4467e-008	
233	1866.	-1.1492e-006	-7.2113e-008	
234	1873.9	-1.1158e-006	-6.9833e-008	
235	1881.8	-1.0835e-006	-6.7627e-008	
236	1889.7	-1.0523e-006	-6.5494e-008	
237	1897.6	-1.0223e-006	-6.3436e-008	
238	1905.4	-9.9324e-007	-6.1452e-008	
239	1913.3	-9.6522e-007	-5.9539e-008	
240	1921.2	-9.3815e-007	-5.7696e-008	
241	1929.1	-9.1201e-007	-5.592e-008	
242	1937.	-8.8675e-007	-5.4209e-008	
243	1944.8	-8.6234e-007	-5.2559e-008	
244	1952.7	-8.3875e-007	-5.0969e-008	
245	1960.6	-8.1593e-007	-4.9437e-008	
246	1968.5	-7.9388e-007	-4.7959e-008	
247	1976.4	-7.7254e-007	-4.6534e-008	
248	1984.2	-7.5191e-007	-4.516e-008	
249	1992.1	-7.3194e-007	-4.3834e-008	
250	2000.	-7.1262e-007	-4.2554e-008	
